time_MS,frame,ID,top_left,top_right,bottom_right,bottom_left
0.0,1.0,4,"(746.0, 690.0)","(755.0, 720.0)","(730.0, 731.0)","(721.0, 701.0)"
0.0,1.0,3,"(1352.0, 654.0)","(1349.0, 625.0)","(1376.0, 622.0)","(1380.0, 652.0)"
0.0,1.0,8,"(405.0, 596.0)","(430.0, 601.0)","(422.0, 626.0)","(397.0, 621.0)"
0.0,1.0,9,"(737.0, 490.0)","(761.0, 509.0)","(741.0, 533.0)","(718.0, 515.0)"
0.0,1.0,1,"(1057.0, 363.0)","(1085.0, 376.0)","(1075.0, 394.0)","(1047.0, 382.0)"
0.0,1.0,2,"(930.0, 393.0)","(911.0, 370.0)","(934.0, 350.0)","(954.0, 373.0)"
0.0,1.0,12,"(627.0, 330.0)","(650.0, 345.0)","(634.0, 367.0)","(610.0, 352.0)"
0.0,1.0,7,"(1429.0, 246.0)","(1434.0, 285.0)","(1393.0, 288.0)","(1389.0, 249.0)"
40.0,2.0,4,"(747.0, 690.0)","(756.0, 720.0)","(731.0, 731.0)","(721.0, 701.0)"
40.0,2.0,3,"(1352.0, 654.0)","(1349.0, 625.0)","(1376.0, 622.0)","(1380.0, 651.0)"
40.0,2.0,8,"(405.0, 596.0)","(430.0, 601.0)","(422.0, 626.0)","(397.0, 621.0)"
40.0,2.0,9,"(737.0, 490.0)","(761.0, 509.0)","(741.0, 533.0)","(718.0, 515.0)"
40.0,2.0,1,"(1057.0, 363.0)","(1085.0, 376.0)","(1074.0, 395.0)","(1047.0, 382.0)"
40.0,2.0,2,"(930.0, 393.0)","(911.0, 370.0)","(934.0, 350.0)","(954.0, 373.0)"
40.0,2.0,12,"(627.0, 330.0)","(650.0, 345.0)","(634.0, 367.0)","(610.0, 352.0)"
40.0,2.0,7,"(1429.0, 246.0)","(1434.0, 285.0)","(1393.0, 288.0)","(1388.0, 250.0)"
80.0,3.0,4,"(747.0, 690.0)","(757.0, 720.0)","(731.0, 731.0)","(722.0, 701.0)"
80.0,3.0,3,"(1352.0, 654.0)","(1349.0, 625.0)","(1376.0, 621.0)","(1380.0, 651.0)"
80.0,3.0,9,"(737.0, 490.0)","(761.0, 509.0)","(741.0, 533.0)","(718.0, 515.0)"
80.0,3.0,1,"(1056.0, 363.0)","(1084.0, 376.0)","(1074.0, 394.0)","(1046.0, 381.0)"
80.0,3.0,2,"(931.0, 394.0)","(911.0, 370.0)","(934.0, 350.0)","(954.0, 373.0)"
80.0,3.0,12,"(627.0, 330.0)","(650.0, 345.0)","(634.0, 367.0)","(610.0, 352.0)"
80.0,3.0,7,"(1429.0, 246.0)","(1434.0, 285.0)","(1392.0, 288.0)","(1388.0, 250.0)"
80.0,3.0,8,"(405.0, 596.0)","(430.0, 601.0)","(422.0, 626.0)","(397.0, 621.0)"
120.0,4.0,4,"(748.0, 690.0)","(757.0, 720.0)","(732.0, 730.0)","(723.0, 700.0)"
