time_MS,frame,ID,top_left,top_right,bottom_right,bottom_left
0.0,1.0,11.0,"(378.0, 534.0)","(372.0, 508.0)","(395.0, 499.0)","(402.0, 525.0)"
0.0,1.0,17.0,"(904.0, 496.0)","(905.0, 464.0)","(936.0, 464.0)","(936.0, 496.0)"
0.0,1.0,16.0,"(969.0, 300.0)","(967.0, 268.0)","(995.0, 267.0)","(999.0, 298.0)"
0.0,1.0,6.0,"(695.0, 1186.0)","(693.0, 1208.0)","(669.0, 1208.0)","(671.0, 1184.0)"
0.0,1.0,19.0,"(1763.0, 340.0)","(1796.0, 341.0)","(1796.0, 377.0)","(1762.0, 372.0)"
41.0,2.0,11.0,"(378.0, 534.0)","(372.0, 508.0)","(395.0, 499.0)","(402.0, 525.0)"
41.0,2.0,17.0,"(905.0, 496.0)","(905.0, 464.0)","(936.0, 464.0)","(936.0, 496.0)"
41.0,2.0,16.0,"(969.0, 300.0)","(967.0, 268.0)","(995.0, 267.0)","(997.0, 298.0)"
41.0,2.0,6.0,"(695.0, 1186.0)","(693.0, 1208.0)","(669.0, 1208.0)","(671.0, 1184.0)"
41.0,2.0,19.0,"(1766.0, 337.0)","(1796.0, 341.0)","(1796.0, 377.0)","(1762.0, 372.0)"
81.0,3.0,6.0,"(695.0, 1186.0)","(693.0, 1208.0)","(669.0, 1206.0)","(671.0, 1184.0)"
81.0,3.0,11.0,"(378.0, 534.0)","(372.0, 508.0)","(395.0, 499.0)","(402.0, 525.0)"
81.0,3.0,17.0,"(905.0, 496.0)","(905.0, 464.0)","(936.0, 464.0)","(936.0, 496.0)"
81.0,3.0,16.0,"(969.0, 300.0)","(967.0, 268.0)","(995.0, 267.0)","(997.0, 298.0)"
81.0,3.0,19.0,"(1766.0, 337.0)","(1796.0, 341.0)","(1796.0, 377.0)","(1762.0, 372.0)"
120.0,4.0,6.0,"(695.0, 1186.0)","(693.0, 1208.0)","(669.0, 1206.0)","(671.0, 1184.0)"
120.0,4.0,11.0,"(378.0, 534.0)","(372.0, 508.0)","(395.0, 499.0)","(402.0, 525.0)"
120.0,4.0,17.0,"(905.0, 496.0)","(905.0, 464.0)","(936.0, 464.0)","(936.0, 496.0)"
120.0,4.0,16.0,"(969.0, 300.0)","(967.0, 268.0)","(994.0, 266.0)","(997.0, 298.0)"
120.0,4.0,19.0,"(1763.0, 341.0)","(1796.0, 343.0)","(1795.0, 379.0)","(1761.0, 373.0)"
200.0,5.0,6.0,"(695.0, 1186.0)","(693.0, 1208.0)","(669.0, 1206.0)","(671.0, 1184.0)"
200.0,5.0,11.0,"(378.0, 534.0)","(372.0, 508.0)","(395.0, 499.0)","(402.0, 525.0)"
200.0,5.0,17.0,"(905.0, 496.0)","(905.0, 464.0)","(936.0, 464.0)","(936.0, 496.0)"
200.0,5.0,16.0,"(969.0, 300.0)","(967.0, 268.0)","(994.0, 266.0)","(997.0, 298.0)"
200.0,5.0,19.0,"(1766.0, 341.0)","(1796.0, 344.0)","(1796.0, 380.0)","(1762.0, 376.0)"
241.0,6.0,11.0,"(378.0, 534.0)","(372.0, 508.0)","(395.0, 499.0)","(401.0, 526.0)"
241.0,6.0,17.0,"(905.0, 496.0)","(905.0, 464.0)","(936.0, 464.0)","(936.0, 496.0)"
241.0,6.0,16.0,"(969.0, 300.0)","(967.0, 268.0)","(994.0, 266.0)","(997.0, 298.0)"
241.0,6.0,19.0,"(1763.0, 343.0)","(1796.0, 345.0)","(1797.0, 380.0)","(1763.0, 376.0)"
280.0,7.0,11.0,"(378.0, 534.0)","(372.0, 508.0)","(395.0, 499.0)","(401.0, 526.0)"
