time_MS,frame,ID,top_left,top_right,bottom_right,bottom_left
0.0,1.0,1.0,"(988.0, 515.0)","(1019.0, 517.0)","(1020.0, 546.0)","(988.0, 544.0)"
25.0,2.0,1.0,"(990.0, 515.0)","(1021.0, 517.0)","(1021.0, 546.0)","(990.0, 543.0)"
65.0,3.0,1.0,"(992.0, 515.0)","(1023.0, 518.0)","(1023.0, 546.0)","(993.0, 543.0)"
106.0,4.0,1.0,"(996.0, 514.0)","(1027.0, 518.0)","(1026.0, 546.0)","(995.0, 542.0)"
184.0,5.0,1.0,"(997.0, 514.0)","(1028.0, 518.0)","(1027.0, 546.0)","(997.0, 543.0)"
225.0,6.0,1.0,"(997.0, 514.0)","(1029.0, 517.0)","(1029.0, 546.0)","(998.0, 543.0)"
265.0,7.0,1.0,"(997.0, 514.0)","(1029.0, 517.0)","(1029.0, 545.0)","(998.0, 543.0)"
305.0,8.0,1.0,"(999.0, 513.0)","(1029.0, 515.0)","(1031.0, 544.0)","(1000.0, 542.0)"
384.0,9.0,1.0,"(999.0, 512.0)","(1030.0, 515.0)","(1031.0, 543.0)","(1000.0, 541.0)"
425.0,10.0,1.0,"(999.0, 512.0)","(1031.0, 513.0)","(1031.0, 543.0)","(1000.0, 541.0)"
465.0,11.0,1.0,"(1000.0, 512.0)","(1031.0, 514.0)","(1032.0, 542.0)","(1002.0, 541.0)"
505.0,12.0,1.0,"(1001.0, 512.0)","(1033.0, 513.0)","(1034.0, 541.0)","(1003.0, 540.0)"
584.0,13.0,1.0,"(1002.0, 512.0)","(1034.0, 513.0)","(1035.0, 541.0)","(1004.0, 540.0)"
625.0,14.0,1.0,"(1003.0, 511.0)","(1035.0, 512.0)","(1036.0, 541.0)","(1005.0, 540.0)"
665.0,15.0,1.0,"(1004.0, 511.0)","(1036.0, 512.0)","(1037.0, 541.0)","(1005.0, 540.0)"
705.0,16.0,1.0,"(1005.0, 511.0)","(1037.0, 512.0)","(1038.0, 541.0)","(1007.0, 540.0)"
784.0,17.0,1.0,"(1006.0, 511.0)","(1037.0, 512.0)","(1038.0, 541.0)","(1007.0, 540.0)"
825.0,18.0,1.0,"(1006.0, 511.0)","(1037.0, 512.0)","(1039.0, 541.0)","(1007.0, 540.0)"
865.0,19.0,1.0,"(1006.0, 511.0)","(1037.0, 512.0)","(1039.0, 541.0)","(1008.0, 540.0)"
905.0,20.0,1.0,"(1006.0, 511.0)","(1037.0, 513.0)","(1039.0, 542.0)","(1008.0, 541.0)"
984.0,21.0,1.0,"(1005.0, 513.0)","(1038.0, 514.0)","(1039.0, 543.0)","(1007.0, 542.0)"
1025.0,22.0,1.0,"(1005.0, 513.0)","(1037.0, 514.0)","(1039.0, 542.0)","(1008.0, 542.0)"
1065.0,23.0,1.0,"(1005.0, 513.0)","(1037.0, 514.0)","(1038.0, 543.0)","(1007.0, 542.0)"
1105.0,24.0,1.0,"(1005.0, 514.0)","(1036.0, 515.0)","(1038.0, 544.0)","(1007.0, 543.0)"
1184.0,25.0,1.0,"(1006.0, 515.0)","(1037.0, 515.0)","(1039.0, 544.0)","(1008.0, 543.0)"
1225.0,26.0,1.0,"(1007.0, 516.0)","(1038.0, 516.0)","(1041.0, 544.0)","(1009.0, 544.0)"
1265.0,27.0,1.0,"(1009.0, 516.0)","(1040.0, 515.0)","(1044.0, 542.0)","(1012.0, 544.0)"
1305.0,28.0,1.0,"(1011.0, 517.0)","(1043.0, 512.0)","(1048.0, 541.0)","(1016.0, 544.0)"
1384.0,29.0,1.0,"(1011.0, 516.0)","(1044.0, 513.0)","(1049.0, 540.0)","(1017.0, 544.0)"
1425.0,30.0,1.0,"(1010.0, 515.0)","(1043.0, 513.0)","(1048.0, 540.0)","(1017.0, 544.0)"
1465.0,31.0,1.0,"(1009.0, 516.0)","(1039.0, 511.0)","(1047.0, 539.0)","(1016.0, 543.0)"
1505.0,32.0,1.0,"(1005.0, 517.0)","(1036.0, 512.0)","(1043.0, 539.0)","(1013.0, 544.0)"
1584.0,33.0,1.0,"(1003.0, 517.0)","(1033.0, 511.0)","(1042.0, 538.0)","(1012.0, 544.0)"
1625.0,34.0,1.0,"(1001.0, 517.0)","(1031.0, 510.0)","(1041.0, 537.0)","(1010.0, 543.0)"
1665.0,35.0,1.0,"(1000.0, 517.0)","(1029.0, 509.0)","(1040.0, 536.0)","(1009.0, 543.0)"
1705.0,36.0,1.0,"(996.0, 517.0)","(1027.0, 508.0)","(1037.0, 534.0)","(1007.0, 543.0)"
1784.0,37.0,1.0,"(995.0, 517.0)","(1024.0, 507.0)","(1036.0, 534.0)","(1006.0, 543.0)"
1825.0,38.0,1.0,"(993.0, 517.0)","(1023.0, 506.0)","(1035.0, 534.0)","(1005.0, 543.0)"
1865.0,39.0,1.0,"(994.0, 517.0)","(1024.0, 508.0)","(1035.0, 533.0)","(1005.0, 543.0)"
1905.0,40.0,1.0,"(993.0, 519.0)","(1023.0, 509.0)","(1034.0, 534.0)","(1005.0, 544.0)"
1984.0,41.0,1.0,"(992.0, 520.0)","(1021.0, 510.0)","(1036.0, 533.0)","(1004.0, 545.0)"
2025.0,42.0,1.0,"(990.0, 520.0)","(1019.0, 510.0)","(1032.0, 534.0)","(1003.0, 545.0)"
2064.0,43.0,1.0,"(987.0, 521.0)","(1016.0, 510.0)","(1030.0, 534.0)","(1000.0, 545.0)"
2105.0,44.0,1.0,"(980.0, 522.0)","(1009.0, 511.0)","(1022.0, 536.0)","(993.0, 546.0)"
2184.0,45.0,1.0,"(977.0, 522.0)","(1007.0, 511.0)","(1019.0, 537.0)","(991.0, 547.0)"
2225.0,46.0,1.0,"(975.0, 522.0)","(1005.0, 512.0)","(1017.0, 538.0)","(988.0, 547.0)"
2265.0,47.0,1.0,"(974.0, 522.0)","(1004.0, 512.0)","(1016.0, 537.0)","(986.0, 547.0)"
2305.0,48.0,1.0,"(973.0, 522.0)","(1002.0, 512.0)","(1015.0, 537.0)","(985.0, 547.0)"
2384.0,49.0,1.0,"(972.0, 522.0)","(1001.0, 512.0)","(1014.0, 538.0)","(985.0, 548.0)"
2425.0,50.0,1.0,"(971.0, 522.0)","(1001.0, 512.0)","(1014.0, 537.0)","(984.0, 549.0)"
2465.0,51.0,1.0,"(970.0, 523.0)","(1000.0, 512.0)","(1013.0, 538.0)","(983.0, 549.0)"
2505.0,52.0,1.0,"(970.0, 523.0)","(999.0, 513.0)","(1011.0, 540.0)","(982.0, 549.0)"
2584.0,53.0,1.0,"(969.0, 523.0)","(998.0, 513.0)","(1010.0, 540.0)","(980.0, 549.0)"
2625.0,54.0,1.0,"(968.0, 523.0)","(997.0, 514.0)","(1009.0, 541.0)","(979.0, 549.0)"
2664.0,55.0,1.0,"(966.0, 524.0)","(996.0, 515.0)","(1007.0, 541.0)","(977.0, 549.0)"
2704.0,56.0,1.0,"(962.0, 524.0)","(992.0, 516.0)","(1003.0, 541.0)","(973.0, 549.0)"
2784.0,57.0,1.0,"(962.0, 523.0)","(992.0, 514.0)","(1003.0, 540.0)","(973.0, 549.0)"
2824.0,58.0,1.0,"(962.0, 522.0)","(992.0, 514.0)","(1002.0, 540.0)","(973.0, 548.0)"
2864.0,59.0,1.0,"(962.0, 521.0)","(992.0, 513.0)","(1002.0, 538.0)","(973.0, 547.0)"
2905.0,60.0,1.0,"(963.0, 519.0)","(993.0, 509.0)","(1005.0, 535.0)","(975.0, 545.0)"
2984.0,61.0,1.0,"(964.0, 517.0)","(994.0, 507.0)","(1005.0, 533.0)","(976.0, 543.0)"
3024.0,62.0,1.0,"(964.0, 516.0)","(994.0, 505.0)","(1005.0, 531.0)","(976.0, 541.0)"
3064.0,63.0,1.0,"(964.0, 514.0)","(994.0, 504.0)","(1005.0, 529.0)","(976.0, 540.0)"
3105.0,64.0,1.0,"(963.0, 512.0)","(993.0, 501.0)","(1005.0, 526.0)","(974.0, 536.0)"
3184.0,65.0,1.0,"(963.0, 511.0)","(993.0, 500.0)","(1004.0, 525.0)","(975.0, 535.0)"
3224.0,66.0,1.0,"(964.0, 509.0)","(994.0, 499.0)","(1005.0, 523.0)","(975.0, 533.0)"
3264.0,67.0,1.0,"(965.0, 506.0)","(995.0, 497.0)","(1006.0, 521.0)","(976.0, 532.0)"
3304.0,68.0,1.0,"(968.0, 501.0)","(997.0, 491.0)","(1009.0, 514.0)","(980.0, 526.0)"
3384.0,69.0,,,,,
3424.0,70.0,,,,,
3464.0,71.0,,,,,
3504.0,72.0,1.0,"(965.0, 489.0)","(993.0, 476.0)","(1008.0, 500.0)","(980.0, 514.0)"
3584.0,73.0,1.0,"(962.0, 490.0)","(990.0, 476.0)","(1005.0, 500.0)","(977.0, 514.0)"
3624.0,74.0,1.0,"(957.0, 491.0)","(985.0, 477.0)","(999.0, 500.0)","(972.0, 514.0)"
3664.0,75.0,1.0,"(948.0, 494.0)","(975.0, 481.0)","(990.0, 505.0)","(962.0, 518.0)"
3704.0,76.0,1.0,"(940.0, 493.0)","(967.0, 479.0)","(982.0, 504.0)","(955.0, 518.0)"
3783.0,77.0,1.0,"(936.0, 492.0)","(963.0, 477.0)","(979.0, 503.0)","(952.0, 517.0)"
3824.0,78.0,1.0,"(930.0, 492.0)","(957.0, 479.0)","(972.0, 504.0)","(946.0, 518.0)"
3864.0,79.0,,,,,
3904.0,80.0,,,,,
3983.0,81.0,,,,,
4024.0,82.0,1.0,"(887.0, 498.0)","(910.0, 483.0)","(928.0, 506.0)","(904.0, 522.0)"
4064.0,83.0,,,,,
4104.0,84.0,1.0,"(859.0, 498.0)","(878.0, 477.0)","(900.0, 496.0)","(880.0, 518.0)"
4183.0,85.0,1.0,"(853.0, 500.0)","(872.0, 477.0)","(895.0, 495.0)","(876.0, 519.0)"
4224.0,86.0,1.0,"(849.0, 501.0)","(866.0, 477.0)","(890.0, 493.0)","(874.0, 517.0)"
4264.0,87.0,1.0,"(844.0, 501.0)","(860.0, 478.0)","(885.0, 493.0)","(869.0, 517.0)"
4304.0,88.0,,,,,
4383.0,89.0,1.0,"(823.0, 513.0)","(840.0, 490.0)","(864.0, 507.0)","(847.0, 530.0)"
4424.0,90.0,1.0,"(818.0, 516.0)","(836.0, 493.0)","(859.0, 510.0)","(841.0, 534.0)"
4464.0,91.0,1.0,"(813.0, 518.0)","(833.0, 495.0)","(855.0, 513.0)","(837.0, 536.0)"
4504.0,92.0,1.0,"(807.0, 520.0)","(827.0, 498.0)","(849.0, 518.0)","(829.0, 539.0)"
4583.0,93.0,1.0,"(804.0, 520.0)","(826.0, 500.0)","(845.0, 522.0)","(824.0, 541.0)"
4624.0,94.0,1.0,"(803.0, 521.0)","(825.0, 501.0)","(844.0, 524.0)","(823.0, 543.0)"
4664.0,95.0,1.0,"(801.0, 521.0)","(825.0, 502.0)","(843.0, 526.0)","(820.0, 543.0)"
4704.0,96.0,1.0,"(799.0, 520.0)","(823.0, 504.0)","(840.0, 527.0)","(816.0, 543.0)"
4783.0,97.0,1.0,"(798.0, 519.0)","(823.0, 504.0)","(839.0, 527.0)","(814.0, 542.0)"
4824.0,98.0,1.0,"(798.0, 517.0)","(823.0, 503.0)","(839.0, 526.0)","(814.0, 541.0)"
4864.0,99.0,1.0,"(798.0, 515.0)","(823.0, 501.0)","(839.0, 525.0)","(813.0, 539.0)"
4904.0,100.0,1.0,"(798.0, 512.0)","(824.0, 498.0)","(839.0, 522.0)","(813.0, 536.0)"
4983.0,101.0,1.0,"(799.0, 511.0)","(824.0, 496.0)","(839.0, 521.0)","(814.0, 535.0)"
5024.0,102.0,1.0,"(799.0, 509.0)","(825.0, 495.0)","(840.0, 519.0)","(814.0, 533.0)"
5064.0,103.0,1.0,"(799.0, 507.0)","(825.0, 493.0)","(840.0, 518.0)","(814.0, 531.0)"
5104.0,104.0,1.0,"(800.0, 504.0)","(826.0, 491.0)","(840.0, 516.0)","(814.0, 530.0)"
5183.0,105.0,1.0,"(799.0, 504.0)","(826.0, 491.0)","(840.0, 516.0)","(814.0, 529.0)"
5224.0,106.0,1.0,"(800.0, 503.0)","(827.0, 490.0)","(841.0, 513.0)","(815.0, 528.0)"
5264.0,107.0,1.0,"(799.0, 502.0)","(824.0, 487.0)","(840.0, 511.0)","(814.0, 526.0)"
5304.0,108.0,1.0,"(793.0, 502.0)","(818.0, 487.0)","(834.0, 511.0)","(809.0, 526.0)"
5383.0,109.0,1.0,"(792.0, 501.0)","(817.0, 486.0)","(834.0, 510.0)","(809.0, 525.0)"
5424.0,110.0,1.0,"(792.0, 501.0)","(816.0, 486.0)","(833.0, 509.0)","(808.0, 525.0)"
5464.0,111.0,1.0,"(790.0, 501.0)","(814.0, 486.0)","(830.0, 509.0)","(807.0, 525.0)"
5504.0,112.0,1.0,"(785.0, 502.0)","(809.0, 486.0)","(826.0, 509.0)","(802.0, 525.0)"
5583.0,113.0,1.0,"(783.0, 502.0)","(807.0, 486.0)","(824.0, 509.0)","(800.0, 525.0)"
5624.0,114.0,1.0,"(782.0, 501.0)","(805.0, 485.0)","(823.0, 509.0)","(799.0, 525.0)"
5664.0,115.0,1.0,"(780.0, 501.0)","(804.0, 485.0)","(821.0, 509.0)","(796.0, 524.0)"
5704.0,116.0,1.0,"(777.0, 500.0)","(801.0, 485.0)","(818.0, 509.0)","(794.0, 524.0)"
5783.0,117.0,1.0,"(776.0, 500.0)","(800.0, 485.0)","(817.0, 508.0)","(792.0, 523.0)"
5824.0,118.0,1.0,"(775.0, 499.0)","(799.0, 484.0)","(816.0, 507.0)","(792.0, 523.0)"
