time_MS,frame,ID,top_left,top_right,bottom_right,bottom_left
0.0,1.0,1.0,"(505.0, 820.0)","(520.0, 803.0)","(540.0, 822.0)","(525.0, 841.0)"
40.0,2.0,1.0,"(505.0, 820.0)","(520.0, 802.0)","(540.0, 822.0)","(525.0, 840.0)"
119.0,3.0,1.0,"(505.0, 820.0)","(520.0, 802.0)","(539.0, 821.0)","(525.0, 840.0)"
160.0,4.0,1.0,"(505.0, 821.0)","(520.0, 802.0)","(539.0, 821.0)","(524.0, 840.0)"
200.0,5.0,1.0,"(505.0, 821.0)","(520.0, 802.0)","(539.0, 821.0)","(524.0, 840.0)"
240.0,6.0,1.0,"(505.0, 821.0)","(519.0, 802.0)","(539.0, 821.0)","(524.0, 840.0)"
319.0,7.0,1.0,"(504.0, 820.0)","(519.0, 802.0)","(539.0, 821.0)","(524.0, 840.0)"
360.0,8.0,1.0,"(504.0, 820.0)","(519.0, 801.0)","(539.0, 821.0)","(524.0, 840.0)"
400.0,9.0,1.0,"(504.0, 820.0)","(519.0, 801.0)","(539.0, 821.0)","(524.0, 840.0)"
440.0,10.0,1.0,"(504.0, 820.0)","(519.0, 801.0)","(539.0, 821.0)","(523.0, 840.0)"
519.0,11.0,1.0,"(504.0, 820.0)","(519.0, 801.0)","(538.0, 821.0)","(524.0, 839.0)"
560.0,12.0,1.0,"(504.0, 820.0)","(519.0, 801.0)","(539.0, 821.0)","(524.0, 839.0)"
600.0,13.0,1.0,"(504.0, 820.0)","(519.0, 801.0)","(539.0, 821.0)","(524.0, 839.0)"
640.0,14.0,1.0,"(504.0, 820.0)","(519.0, 801.0)","(539.0, 821.0)","(524.0, 839.0)"
719.0,15.0,1.0,"(504.0, 820.0)","(519.0, 801.0)","(539.0, 821.0)","(524.0, 839.0)"
760.0,16.0,1.0,"(504.0, 820.0)","(519.0, 801.0)","(539.0, 821.0)","(524.0, 839.0)"
800.0,17.0,1.0,"(504.0, 820.0)","(519.0, 801.0)","(539.0, 821.0)","(524.0, 839.0)"
840.0,18.0,1.0,"(504.0, 820.0)","(519.0, 801.0)","(539.0, 821.0)","(524.0, 839.0)"
919.0,19.0,1.0,"(504.0, 820.0)","(519.0, 801.0)","(538.0, 820.0)","(523.0, 839.0)"
960.0,20.0,1.0,"(504.0, 820.0)","(519.0, 801.0)","(538.0, 820.0)","(523.0, 839.0)"
1000.0,21.0,1.0,"(504.0, 820.0)","(519.0, 801.0)","(538.0, 820.0)","(524.0, 839.0)"
1039.0,22.0,1.0,"(504.0, 820.0)","(519.0, 801.0)","(538.0, 820.0)","(524.0, 839.0)"
1119.0,23.0,1.0,"(504.0, 820.0)","(519.0, 801.0)","(538.0, 819.0)","(524.0, 838.0)"
1159.0,24.0,1.0,"(504.0, 820.0)","(519.0, 801.0)","(538.0, 819.0)","(524.0, 838.0)"
1199.0,25.0,1.0,"(504.0, 819.0)","(520.0, 801.0)","(539.0, 820.0)","(524.0, 838.0)"
1240.0,26.0,1.0,"(505.0, 820.0)","(520.0, 801.0)","(539.0, 820.0)","(524.0, 839.0)"
1319.0,27.0,1.0,"(505.0, 820.0)","(520.0, 801.0)","(540.0, 821.0)","(525.0, 839.0)"
1359.0,28.0,1.0,"(505.0, 820.0)","(520.0, 801.0)","(540.0, 821.0)","(525.0, 839.0)"
1399.0,29.0,1.0,"(505.0, 820.0)","(520.0, 802.0)","(540.0, 821.0)","(525.0, 839.0)"
1439.0,30.0,1.0,"(505.0, 821.0)","(520.0, 802.0)","(540.0, 821.0)","(525.0, 839.0)"
1519.0,31.0,1.0,"(505.0, 821.0)","(520.0, 802.0)","(540.0, 821.0)","(525.0, 839.0)"
1560.0,32.0,1.0,"(505.0, 821.0)","(520.0, 802.0)","(540.0, 821.0)","(525.0, 840.0)"
1599.0,33.0,1.0,"(505.0, 821.0)","(520.0, 802.0)","(540.0, 821.0)","(525.0, 840.0)"
1639.0,34.0,1.0,"(505.0, 821.0)","(520.0, 801.0)","(540.0, 821.0)","(525.0, 842.0)"
1719.0,35.0,1.0,"(505.0, 821.0)","(520.0, 801.0)","(540.0, 821.0)","(525.0, 842.0)"
1759.0,36.0,1.0,"(505.0, 821.0)","(519.0, 802.0)","(540.0, 821.0)","(525.0, 842.0)"
1799.0,37.0,1.0,"(505.0, 821.0)","(519.0, 802.0)","(540.0, 821.0)","(525.0, 842.0)"
1839.0,38.0,1.0,"(505.0, 821.0)","(519.0, 802.0)","(540.0, 821.0)","(525.0, 839.0)"
1919.0,39.0,1.0,"(505.0, 821.0)","(519.0, 802.0)","(540.0, 821.0)","(525.0, 839.0)"
1959.0,40.0,1.0,"(504.0, 821.0)","(519.0, 802.0)","(540.0, 821.0)","(525.0, 839.0)"
1999.0,41.0,1.0,"(504.0, 821.0)","(519.0, 801.0)","(540.0, 821.0)","(525.0, 839.0)"
2039.0000000000002,42.0,1.0,"(504.0, 820.0)","(519.0, 801.0)","(539.0, 820.0)","(525.0, 839.0)"
2118.0,43.0,1.0,"(504.0, 820.0)","(519.0, 801.0)","(539.0, 820.0)","(525.0, 839.0)"
2159.0,44.0,1.0,"(504.0, 820.0)","(519.0, 801.0)","(539.0, 820.0)","(525.0, 839.0)"
2199.0,45.0,1.0,"(504.0, 821.0)","(519.0, 801.0)","(539.0, 820.0)","(524.0, 839.0)"
2239.0,46.0,1.0,"(504.0, 820.0)","(519.0, 801.0)","(539.0, 820.0)","(524.0, 839.0)"
2318.0,47.0,1.0,"(504.0, 820.0)","(518.0, 802.0)","(539.0, 820.0)","(524.0, 839.0)"
2359.0,48.0,1.0,"(504.0, 820.0)","(518.0, 802.0)","(539.0, 820.0)","(524.0, 839.0)"
2399.0,49.0,1.0,"(504.0, 820.0)","(519.0, 802.0)","(540.0, 821.0)","(524.0, 839.0)"
2439.0,50.0,1.0,"(505.0, 821.0)","(520.0, 802.0)","(540.0, 821.0)","(525.0, 839.0)"
2518.0,51.0,1.0,"(505.0, 821.0)","(520.0, 802.0)","(540.0, 821.0)","(526.0, 839.0)"
2559.0,52.0,1.0,"(505.0, 821.0)","(520.0, 802.0)","(541.0, 821.0)","(526.0, 840.0)"
2599.0,53.0,1.0,"(505.0, 821.0)","(520.0, 803.0)","(541.0, 821.0)","(526.0, 840.0)"
2639.0,54.0,1.0,"(507.0, 823.0)","(522.0, 804.0)","(542.0, 822.0)","(527.0, 841.0)"
2718.0,55.0,1.0,"(507.0, 822.0)","(522.0, 804.0)","(543.0, 823.0)","(528.0, 841.0)"
2759.0,56.0,1.0,"(507.0, 823.0)","(522.0, 805.0)","(543.0, 822.0)","(528.0, 841.0)"
2799.0,57.0,1.0,"(508.0, 823.0)","(523.0, 804.0)","(544.0, 823.0)","(528.0, 841.0)"
2839.0,58.0,1.0,"(508.0, 823.0)","(523.0, 804.0)","(544.0, 823.0)","(529.0, 841.0)"
2918.0,59.0,1.0,"(508.0, 823.0)","(523.0, 804.0)","(544.0, 822.0)","(529.0, 841.0)"
2959.0,60.0,1.0,"(508.0, 823.0)","(523.0, 804.0)","(544.0, 822.0)","(529.0, 841.0)"
2999.0,61.0,1.0,"(508.0, 823.0)","(523.0, 804.0)","(544.0, 822.0)","(529.0, 841.0)"
3039.0,62.0,1.0,"(508.0, 823.0)","(523.0, 804.0)","(544.0, 822.0)","(529.0, 841.0)"
3118.0,63.0,1.0,"(508.0, 823.0)","(523.0, 804.0)","(544.0, 822.0)","(529.0, 841.0)"
3159.0,64.0,1.0,"(509.0, 823.0)","(524.0, 804.0)","(544.0, 822.0)","(530.0, 841.0)"
3199.0,65.0,1.0,"(509.0, 823.0)","(524.0, 804.0)","(545.0, 822.0)","(530.0, 841.0)"
3239.0,66.0,1.0,"(511.0, 824.0)","(526.0, 804.0)","(546.0, 823.0)","(532.0, 842.0)"
3318.0,67.0,1.0,"(512.0, 824.0)","(526.0, 805.0)","(547.0, 823.0)","(532.0, 842.0)"
3359.0,68.0,1.0,"(513.0, 824.0)","(528.0, 805.0)","(548.0, 823.0)","(533.0, 842.0)"
3399.0,69.0,1.0,"(513.0, 824.0)","(529.0, 805.0)","(549.0, 823.0)","(534.0, 843.0)"
3439.0,70.0,1.0,"(515.0, 825.0)","(531.0, 805.0)","(552.0, 824.0)","(536.0, 843.0)"
3518.0,71.0,1.0,"(516.0, 825.0)","(531.0, 806.0)","(552.0, 824.0)","(537.0, 843.0)"
3559.0,72.0,1.0,"(516.0, 825.0)","(531.0, 806.0)","(552.0, 824.0)","(537.0, 843.0)"
3599.0,73.0,1.0,"(516.0, 825.0)","(531.0, 806.0)","(552.0, 824.0)","(537.0, 843.0)"
3639.0,74.0,1.0,"(515.0, 824.0)","(531.0, 805.0)","(551.0, 824.0)","(535.0, 844.0)"
3718.0,75.0,1.0,"(514.0, 823.0)","(530.0, 805.0)","(550.0, 824.0)","(534.0, 844.0)"
3759.0,76.0,1.0,"(513.0, 822.0)","(529.0, 804.0)","(548.0, 824.0)","(532.0, 841.0)"
3799.0,77.0,1.0,"(511.0, 820.0)","(527.0, 804.0)","(547.0, 824.0)","(530.0, 840.0)"
3839.0,78.0,1.0,"(507.0, 814.0)","(522.0, 800.0)","(541.0, 820.0)","(525.0, 835.0)"
3918.0,79.0,1.0,"(505.0, 810.0)","(522.0, 796.0)","(540.0, 817.0)","(523.0, 832.0)"
3959.0,80.0,1.0,"(503.0, 807.0)","(520.0, 793.0)","(538.0, 814.0)","(522.0, 828.0)"
3999.0,81.0,1.0,"(501.0, 804.0)","(518.0, 790.0)","(536.0, 811.0)","(519.0, 825.0)"
4038.9999999999995,82.0,1.0,"(497.0, 796.0)","(515.0, 784.0)","(531.0, 806.0)","(513.0, 818.0)"
4118.0,83.0,1.0,"(496.0, 793.0)","(513.0, 781.0)","(530.0, 803.0)","(511.0, 815.0)"
4159.0,84.0,1.0,"(495.0, 790.0)","(514.0, 779.0)","(528.0, 801.0)","(511.0, 813.0)"
4199.0,85.0,1.0,"(494.0, 787.0)","(512.0, 776.0)","(527.0, 799.0)","(509.0, 810.0)"
4239.0,86.0,1.0,"(492.0, 783.0)","(510.0, 772.0)","(525.0, 795.0)","(507.0, 806.0)"
4318.0,87.0,1.0,"(491.0, 781.0)","(509.0, 770.0)","(523.0, 794.0)","(506.0, 804.0)"
4359.0,88.0,1.0,"(490.0, 780.0)","(508.0, 769.0)","(522.0, 792.0)","(505.0, 803.0)"
4399.0,89.0,1.0,"(489.0, 779.0)","(507.0, 768.0)","(521.0, 791.0)","(504.0, 802.0)"
4439.0,90.0,1.0,"(489.0, 777.0)","(506.0, 767.0)","(520.0, 790.0)","(503.0, 801.0)"
4518.0,91.0,1.0,"(489.0, 776.0)","(506.0, 767.0)","(520.0, 790.0)","(503.0, 801.0)"
4559.0,92.0,1.0,"(489.0, 776.0)","(505.0, 766.0)","(520.0, 789.0)","(503.0, 800.0)"
4599.0,93.0,1.0,"(489.0, 776.0)","(505.0, 765.0)","(520.0, 789.0)","(503.0, 799.0)"
4639.0,94.0,1.0,"(490.0, 776.0)","(507.0, 765.0)","(521.0, 787.0)","(504.0, 799.0)"
4718.0,95.0,1.0,"(490.0, 776.0)","(506.0, 764.0)","(521.0, 787.0)","(504.0, 799.0)"
4759.0,96.0,1.0,"(490.0, 776.0)","(506.0, 764.0)","(521.0, 787.0)","(504.0, 799.0)"
4799.0,97.0,1.0,"(490.0, 775.0)","(507.0, 764.0)","(521.0, 787.0)","(504.0, 799.0)"
4839.0,98.0,1.0,"(490.0, 775.0)","(506.0, 763.0)","(521.0, 787.0)","(505.0, 799.0)"
4918.0,99.0,1.0,"(490.0, 776.0)","(505.0, 763.0)","(521.0, 785.0)","(506.0, 798.0)"
4958.0,100.0,1.0,"(490.0, 775.0)","(507.0, 763.0)","(521.0, 787.0)","(505.0, 798.0)"
4998.0,101.0,1.0,"(490.0, 775.0)","(507.0, 763.0)","(522.0, 786.0)","(505.0, 798.0)"
5038.0,102.0,1.0,"(490.0, 775.0)","(507.0, 763.0)","(523.0, 784.0)","(505.0, 798.0)"
