time_MS,frame,ID,top_left,top_right,bottom_right,bottom_left
0.0,1.0,,,,,
79.0,2.0,,,,,
120.0,3.0,,,,,
160.0,4.0,,,,,
200.0,5.0,,,,,
279.0,6.0,,,,,
320.0,7.0,,,,,
360.0,8.0,,,,,
400.0,9.0,,,,,
479.0,10.0,,,,,
520.0,11.0,,,,,
560.0,12.0,,,,,
600.0,13.0,,,,,
679.0,14.0,,,,,
720.0,15.0,,,,,
760.0,16.0,,,,,
800.0,17.0,,,,,
879.0,18.0,,,,,
920.0,19.0,,,,,
960.0,20.0,,,,,
1000.0,21.0,,,,,
1079.0,22.0,,,,,
1120.0,23.0,,,,,
1160.0,24.0,,,,,
1200.0,25.0,,,,,
1279.0,26.0,,,,,
1320.0,27.0,,,,,
1359.0,28.0,,,,,
1400.0,29.0,,,,,
1479.0,30.0,,,,,
1520.0,31.0,,,,,
1560.0,32.0,,,,,
1600.0,33.0,,,,,
1679.0,34.0,,,,,
1720.0,35.0,,,,,
1760.0,36.0,,,,,
1800.0,37.0,,,,,
1879.0,38.0,,,,,
1920.0,39.0,,,,,
1960.0,40.0,,,,,
2000.0,41.0,,,,,
2079.0,42.0,,,,,
2120.0,43.0,,,,,
2160.0,44.0,,,,,
2199.0,45.0,,,,,
2279.0,46.0,,,,,
2320.0,47.0,,,,,
2360.0,48.0,,,,,
2400.0,49.0,,,,,
2479.0,50.0,,,,,
2519.0,51.0,,,,,
2559.0,52.0,,,,,
2599.0,53.0,,,,,
2679.0,54.0,12.0,"(403.0, 1272.0)","(388.0, 1282.0)","(365.0, 1279.0)","(352.0, 1261.0)"
2719.0,55.0,,,,,
2759.0,56.0,,,,,
2800.0,57.0,,,,,
2879.0,58.0,,,,,
2919.0,59.0,,,,,
2959.0,60.0,,,,,
2999.0,61.0,,,,,
3079.0,62.0,,,,,
3119.0,63.0,,,,,
3159.0,64.0,,,,,
3199.0,65.0,,,,,
3278.0,66.0,,,,,
3319.0,67.0,,,,,
3359.0,68.0,,,,,
3400.0,69.0,,,,,
3478.0,70.0,,,,,
3519.0,71.0,,,,,
3559.0,72.0,,,,,
3599.0,73.0,,,,,
3678.0,74.0,,,,,
3719.0,75.0,,,,,
3759.0,76.0,,,,,
3799.0,77.0,,,,,
3878.0,78.0,,,,,
3919.0,79.0,,,,,
3959.0,80.0,,,,,
3999.0,81.0,,,,,
4078.0000000000005,82.0,,,,,
4119.0,83.0,,,,,
4159.0,84.0,,,,,
4199.0,85.0,,,,,
4278.0,86.0,,,,,
4319.0,87.0,,,,,
4359.0,88.0,,,,,
4399.0,89.0,,,,,
4478.0,90.0,,,,,
4519.0,91.0,,,,,
4559.0,92.0,,,,,
4599.0,93.0,,,,,
4678.0,94.0,,,,,
4719.0,95.0,,,,,
4759.0,96.0,,,,,
4799.0,97.0,,,,,
4878.0,98.0,,,,,
4919.0,99.0,,,,,
4959.0,100.0,,,,,
4999.0,101.0,,,,,
5078.0,102.0,,,,,
5119.0,103.0,,,,,
5159.0,104.0,,,,,
5199.0,105.0,,,,,
5278.0,106.0,,,,,
5319.0,107.0,,,,,
5358.0,108.0,,,,,
5399.0,109.0,,,,,
5478.0,110.0,,,,,
5519.0,111.0,,,,,
5559.0,112.0,,,,,
5599.0,113.0,,,,,
5678.0,114.0,,,,,
5719.0,115.0,,,,,
5759.0,116.0,,,,,
5799.0,117.0,,,,,
5878.0,118.0,,,,,
5919.0,119.0,,,,,
5959.0,120.0,,,,,
5999.0,121.0,,,,,
6078.0,122.0,,,,,
6119.0,123.0,,,,,
6158.0,124.0,,,,,
6198.0,125.0,,,,,
6278.0,126.0,2.0,"(964.0, 349.0)","(997.0, 347.0)","(1000.0, 378.0)","(969.0, 381.0)"
6318.0,127.0,2.0,"(964.0, 350.0)","(997.0, 347.0)","(999.0, 378.0)","(968.0, 380.0)"
6358.0,128.0,,,,,
6399.0,129.0,,,,,
6478.0,130.0,,,,,
6518.0,131.0,,,,,
6559.0,132.0,,,,,
6598.0,133.0,,,,,
6678.0,134.0,,,,,
6718.0,135.0,,,,,
6758.0,136.0,,,,,
6798.0,137.0,,,,,
6878.0,138.0,,,,,
6918.0,139.0,,,,,
6958.0,140.0,,,,,
6998.0,141.0,,,,,
7078.0,142.0,,,,,
7118.0,143.0,,,,,
7158.0,144.0,,,,,
7198.0,145.0,,,,,
7277.0,146.0,,,,,
7318.0,147.0,,,,,
7358.0,148.0,,,,,
7398.0,149.0,,,,,
7477.0,150.0,,,,,
7518.0,151.0,,,,,
7558.0,152.0,,,,,
7598.0,153.0,,,,,
7677.0,154.0,,,,,
7718.0,155.0,,,,,
7758.0,156.0,,,,,
7798.0,157.0,,,,,
7877.0,158.0,,,,,
7918.0,159.0,,,,,
7958.0,160.0,,,,,
7998.0,161.0,,,,,
8077.0,162.0,,,,,
8118.0,163.0,,,,,
8157.999999999999,164.0,,,,,
8198.0,165.0,,,,,
8277.0,166.0,,,,,
8318.0,167.0,,,,,
8358.0,168.0,,,,,
8398.0,169.0,,,,,
8477.0,170.0,,,,,
8518.0,171.0,,,,,
8558.0,172.0,,,,,
8598.0,173.0,,,,,
8677.0,174.0,,,,,
8718.0,175.0,,,,,
8758.0,176.0,,,,,
8798.0,177.0,,,,,
8877.0,178.0,,,,,
8918.0,179.0,,,,,
8958.0,180.0,,,,,
8998.0,181.0,,,,,
9077.0,182.0,,,,,
9118.0,183.0,,,,,
9158.0,184.0,,,,,
9198.0,185.0,,,,,
9277.0,186.0,,,,,
9318.0,187.0,,,,,
9357.0,188.0,,,,,
9398.0,189.0,,,,,
9477.0,190.0,,,,,
9518.0,191.0,,,,,
9558.0,192.0,,,,,
9598.0,193.0,,,,,
9677.0,194.0,,,,,
9718.0,195.0,,,,,
9758.0,196.0,,,,,
9797.0,197.0,,,,,
9877.0,198.0,,,,,
9917.0,199.0,,,,,
9957.0,200.0,,,,,
9998.0,201.0,,,,,
10077.0,202.0,,,,,
10118.0,203.0,,,,,
10157.0,204.0,,,,,
10197.0,205.0,,,,,
10277.0,206.0,,,,,
10317.0,207.0,,,,,
10357.0,208.0,,,,,
10397.0,209.0,,,,,
10477.0,210.0,,,,,
10517.0,211.0,,,,,
10558.0,212.0,,,,,
10597.0,213.0,,,,,
10677.0,214.0,,,,,
10717.0,215.0,,,,,
10757.0,216.0,,,,,
10797.0,217.0,,,,,
10877.0,218.0,,,,,
10917.0,219.0,,,,,
10957.0,220.0,,,,,
10997.0,221.0,,,,,
11076.0,222.0,,,,,
11117.0,223.0,,,,,
11157.0,224.0,,,,,
11197.0,225.0,,,,,
11276.0,226.0,,,,,
11317.0,227.0,,,,,
11357.0,228.0,,,,,
11397.0,229.0,,,,,
11476.0,230.0,,,,,
11517.0,231.0,,,,,
11557.0,232.0,,,,,
11597.0,233.0,,,,,
11676.0,234.0,,,,,
11717.0,235.0,,,,,
11757.0,236.0,,,,,
11797.0,237.0,,,,,
11876.0,238.0,,,,,
11917.0,239.0,,,,,
11957.0,240.0,,,,,
11997.0,241.0,2.0,"(990.0, 336.0)","(1011.0, 357.0)","(992.0, 377.0)","(971.0, 356.0)"
12076.0,242.0,2.0,"(990.0, 336.0)","(1012.0, 358.0)","(992.0, 377.0)","(971.0, 356.0)"
12117.0,243.0,2.0,"(990.0, 336.0)","(1012.0, 357.0)","(992.0, 377.0)","(971.0, 356.0)"
12157.0,244.0,2.0,"(990.0, 336.0)","(1013.0, 357.0)","(992.0, 377.0)","(970.0, 356.0)"
12197.0,245.0,2.0,"(990.0, 336.0)","(1013.0, 356.0)","(992.0, 377.0)","(970.0, 356.0)"
12276.0,246.0,2.0,"(990.0, 336.0)","(1013.0, 356.0)","(993.0, 377.0)","(971.0, 356.0)"
12317.0,247.0,2.0,"(991.0, 336.0)","(1014.0, 356.0)","(993.0, 377.0)","(971.0, 357.0)"
12357.0,248.0,2.0,"(990.0, 336.0)","(1014.0, 355.0)","(994.0, 377.0)","(971.0, 357.0)"
12397.0,249.0,2.0,"(993.0, 336.0)","(1016.0, 355.0)","(995.0, 377.0)","(972.0, 357.0)"
12476.0,250.0,2.0,"(992.0, 336.0)","(1016.0, 355.0)","(996.0, 376.0)","(972.0, 357.0)"
12517.0,251.0,2.0,"(992.0, 336.0)","(1016.0, 355.0)","(995.0, 377.0)","(972.0, 358.0)"
12557.0,252.0,,,,,
12597.0,253.0,2.0,"(994.0, 338.0)","(1017.0, 357.0)","(997.0, 380.0)","(974.0, 360.0)"
12676.0,254.0,2.0,"(996.0, 339.0)","(1019.0, 358.0)","(999.0, 381.0)","(975.0, 360.0)"
