time_MS,frame,ID,top_left,top_right,bottom_right,bottom_left
0.0,1.0,1.0,"(446.0, 654.0)","(446.0, 627.0)","(471.0, 628.0)","(471.0, 655.0)"
40.0,2.0,1.0,"(446.0, 654.0)","(446.0, 627.0)","(471.0, 628.0)","(471.0, 655.0)"
80.0,3.0,1.0,"(446.0, 654.0)","(446.0, 627.0)","(471.0, 627.0)","(471.0, 655.0)"
120.0,4.0,1.0,"(446.0, 655.0)","(446.0, 627.0)","(471.0, 628.0)","(471.0, 655.0)"
200.0,5.0,1.0,"(446.0, 654.0)","(446.0, 627.0)","(470.0, 628.0)","(471.0, 655.0)"
240.0,6.0,1.0,"(445.0, 655.0)","(446.0, 628.0)","(470.0, 628.0)","(470.0, 656.0)"
280.0,7.0,1.0,"(445.0, 655.0)","(446.0, 628.0)","(470.0, 629.0)","(471.0, 657.0)"
320.0,8.0,1.0,"(445.0, 658.0)","(445.0, 631.0)","(470.0, 631.0)","(470.0, 659.0)"
399.0,9.0,1.0,"(445.0, 659.0)","(445.0, 632.0)","(470.0, 633.0)","(470.0, 660.0)"
440.0,10.0,1.0,"(445.0, 660.0)","(445.0, 633.0)","(470.0, 633.0)","(470.0, 661.0)"
480.0,11.0,1.0,"(445.0, 660.0)","(445.0, 633.0)","(470.0, 633.0)","(470.0, 661.0)"
520.0,12.0,1.0,"(445.0, 660.0)","(445.0, 633.0)","(470.0, 633.0)","(470.0, 661.0)"
599.0,13.0,1.0,"(445.0, 660.0)","(445.0, 633.0)","(470.0, 634.0)","(470.0, 661.0)"
640.0,14.0,1.0,"(445.0, 660.0)","(445.0, 633.0)","(471.0, 633.0)","(470.0, 661.0)"
680.0,15.0,1.0,"(445.0, 659.0)","(445.0, 632.0)","(470.0, 633.0)","(471.0, 660.0)"
720.0,16.0,1.0,"(446.0, 659.0)","(445.0, 631.0)","(470.0, 632.0)","(471.0, 659.0)"
799.0,17.0,1.0,"(446.0, 658.0)","(446.0, 631.0)","(470.0, 632.0)","(471.0, 659.0)"
840.0,18.0,1.0,"(447.0, 659.0)","(446.0, 632.0)","(471.0, 632.0)","(472.0, 660.0)"
880.0,19.0,1.0,"(448.0, 660.0)","(447.0, 633.0)","(472.0, 633.0)","(472.0, 661.0)"
920.0,20.0,1.0,"(449.0, 660.0)","(450.0, 633.0)","(475.0, 634.0)","(475.0, 662.0)"
999.0,21.0,1.0,"(450.0, 661.0)","(450.0, 633.0)","(476.0, 634.0)","(476.0, 661.0)"
1040.0,22.0,1.0,"(450.0, 660.0)","(450.0, 633.0)","(476.0, 634.0)","(476.0, 661.0)"
1080.0,23.0,1.0,"(451.0, 660.0)","(451.0, 633.0)","(476.0, 634.0)","(476.0, 661.0)"
1120.0,24.0,1.0,"(453.0, 660.0)","(453.0, 633.0)","(479.0, 634.0)","(478.0, 661.0)"
1199.0,25.0,1.0,"(454.0, 660.0)","(452.0, 633.0)","(480.0, 632.0)","(480.0, 660.0)"
1240.0,26.0,1.0,"(455.0, 659.0)","(455.0, 632.0)","(481.0, 632.0)","(480.0, 658.0)"
1280.0,27.0,1.0,"(456.0, 658.0)","(456.0, 631.0)","(481.0, 631.0)","(481.0, 658.0)"
1320.0,28.0,1.0,"(456.0, 656.0)","(457.0, 630.0)","(482.0, 630.0)","(482.0, 656.0)"
1399.0,29.0,1.0,"(457.0, 655.0)","(455.0, 629.0)","(482.0, 629.0)","(482.0, 655.0)"
1440.0,30.0,,,,,
1480.0,31.0,,,,,
1520.0,32.0,,,,,
1599.0,33.0,,,,,
1640.0,34.0,1.0,"(458.0, 646.0)","(454.0, 620.0)","(479.0, 616.0)","(483.0, 642.0)"
1680.0,35.0,1.0,"(460.0, 647.0)","(455.0, 620.0)","(480.0, 616.0)","(484.0, 643.0)"
1720.0,36.0,1.0,"(464.0, 650.0)","(458.0, 624.0)","(484.0, 619.0)","(488.0, 646.0)"
1799.0,37.0,1.0,"(465.0, 652.0)","(460.0, 624.0)","(485.0, 621.0)","(490.0, 648.0)"
1840.0,38.0,1.0,"(466.0, 655.0)","(462.0, 628.0)","(487.0, 623.0)","(492.0, 651.0)"
1879.0,39.0,,,,,
1920.0,40.0,,,,,
1999.0,41.0,1.0,"(471.0, 667.0)","(461.0, 640.0)","(485.0, 631.0)","(495.0, 657.0)"
2040.0,42.0,1.0,"(471.0, 669.0)","(460.0, 642.0)","(485.0, 634.0)","(494.0, 659.0)"
2080.0,43.0,1.0,"(471.0, 671.0)","(460.0, 648.0)","(484.0, 634.0)","(495.0, 660.0)"
2120.0,44.0,1.0,"(473.0, 673.0)","(461.0, 649.0)","(484.0, 636.0)","(496.0, 660.0)"
2199.0,45.0,1.0,"(473.0, 673.0)","(461.0, 649.0)","(484.0, 636.0)","(496.0, 660.0)"
2240.0,46.0,1.0,"(474.0, 673.0)","(461.0, 650.0)","(484.0, 636.0)","(497.0, 661.0)"
2280.0,47.0,1.0,"(474.0, 673.0)","(461.0, 649.0)","(484.0, 636.0)","(497.0, 660.0)"
2320.0,48.0,,,,,
2399.0,49.0,1.0,"(474.0, 669.0)","(462.0, 645.0)","(486.0, 633.0)","(497.0, 658.0)"
2440.0,50.0,1.0,"(474.0, 668.0)","(463.0, 643.0)","(487.0, 633.0)","(497.0, 658.0)"
2480.0,51.0,1.0,"(474.0, 667.0)","(464.0, 642.0)","(487.0, 632.0)","(497.0, 658.0)"
2520.0,52.0,,,,,
2599.0,53.0,1.0,"(476.0, 660.0)","(467.0, 632.0)","(491.0, 627.0)","(500.0, 653.0)"
2640.0,54.0,1.0,"(477.0, 659.0)","(469.0, 633.0)","(493.0, 625.0)","(501.0, 652.0)"
2680.0,55.0,1.0,"(477.0, 657.0)","(469.0, 627.0)","(494.0, 624.0)","(501.0, 650.0)"
2720.0,56.0,1.0,"(478.0, 655.0)","(470.0, 628.0)","(495.0, 622.0)","(501.0, 648.0)"
2799.0,57.0,1.0,"(478.0, 654.0)","(471.0, 627.0)","(494.0, 620.0)","(502.0, 647.0)"
2840.0,58.0,,,,,
2880.0,59.0,1.0,"(478.0, 652.0)","(471.0, 626.0)","(495.0, 619.0)","(502.0, 646.0)"
2920.0,60.0,1.0,"(478.0, 651.0)","(471.0, 625.0)","(495.0, 618.0)","(502.0, 645.0)"
2999.0,61.0,1.0,"(479.0, 651.0)","(472.0, 625.0)","(495.0, 617.0)","(503.0, 644.0)"
3039.0,62.0,1.0,"(479.0, 651.0)","(472.0, 624.0)","(495.0, 617.0)","(503.0, 644.0)"
3079.0,63.0,1.0,"(480.0, 651.0)","(472.0, 624.0)","(496.0, 617.0)","(503.0, 644.0)"
3120.0,64.0,1.0,"(480.0, 651.0)","(472.0, 624.0)","(496.0, 616.0)","(503.0, 644.0)"
3199.0,65.0,1.0,"(480.0, 651.0)","(473.0, 624.0)","(496.0, 616.0)","(504.0, 643.0)"
3239.0,66.0,1.0,"(480.0, 651.0)","(472.0, 624.0)","(496.0, 616.0)","(504.0, 643.0)"
3279.0,67.0,1.0,"(480.0, 650.0)","(472.0, 624.0)","(496.0, 616.0)","(504.0, 643.0)"
3319.0,68.0,1.0,"(480.0, 650.0)","(472.0, 624.0)","(496.0, 616.0)","(503.0, 643.0)"
3399.0,69.0,1.0,"(480.0, 650.0)","(473.0, 623.0)","(496.0, 616.0)","(504.0, 643.0)"
3439.0,70.0,1.0,"(480.0, 650.0)","(473.0, 623.0)","(496.0, 616.0)","(504.0, 643.0)"
3479.0,71.0,1.0,"(480.0, 650.0)","(473.0, 623.0)","(496.0, 616.0)","(503.0, 643.0)"
3520.0,72.0,1.0,"(479.0, 650.0)","(473.0, 623.0)","(495.0, 616.0)","(503.0, 643.0)"
3599.0,73.0,1.0,"(479.0, 650.0)","(472.0, 623.0)","(495.0, 616.0)","(503.0, 643.0)"
3639.0,74.0,1.0,"(479.0, 650.0)","(473.0, 623.0)","(495.0, 616.0)","(503.0, 643.0)"
3679.0,75.0,1.0,"(479.0, 650.0)","(473.0, 623.0)","(496.0, 617.0)","(503.0, 643.0)"
3719.0,76.0,1.0,"(479.0, 650.0)","(472.0, 624.0)","(496.0, 617.0)","(503.0, 643.0)"
3799.0,77.0,1.0,"(479.0, 651.0)","(472.0, 624.0)","(495.0, 616.0)","(503.0, 643.0)"
3839.0,78.0,1.0,"(479.0, 652.0)","(472.0, 624.0)","(495.0, 616.0)","(503.0, 644.0)"
3879.0,79.0,1.0,"(479.0, 652.0)","(471.0, 624.0)","(494.0, 617.0)","(502.0, 644.0)"
3919.0,80.0,1.0,"(478.0, 652.0)","(471.0, 625.0)","(494.0, 617.0)","(502.0, 644.0)"
3919.0,80.0,27.0,"(2223.0, 1069.0)","(2207.0, 1061.0)","(2227.0, 1059.0)","(2246.0, 1068.0)"
3999.0,81.0,1.0,"(478.0, 652.0)","(471.0, 625.0)","(493.0, 617.0)","(502.0, 645.0)"
3999.0,81.0,27.0,"(2223.0, 1069.0)","(2207.0, 1061.0)","(2227.0, 1059.0)","(2246.0, 1068.0)"
4038.9999999999995,82.0,27.0,"(2223.0, 1069.0)","(2207.0, 1061.0)","(2227.0, 1059.0)","(2246.0, 1068.0)"
4038.9999999999995,82.0,1.0,"(478.0, 653.0)","(471.0, 626.0)","(493.0, 618.0)","(501.0, 645.0)"
4078.9999999999995,83.0,1.0,"(478.0, 653.0)","(471.0, 625.0)","(493.0, 618.0)","(501.0, 645.0)"
4119.0,84.0,1.0,"(478.0, 653.0)","(470.0, 627.0)","(493.0, 619.0)","(500.0, 646.0)"
4199.0,85.0,1.0,"(477.0, 653.0)","(470.0, 626.0)","(493.0, 619.0)","(500.0, 646.0)"
4239.0,86.0,1.0,"(477.0, 653.0)","(470.0, 626.0)","(492.0, 619.0)","(500.0, 646.0)"
4279.0,87.0,1.0,"(477.0, 653.0)","(470.0, 626.0)","(492.0, 619.0)","(500.0, 646.0)"
4319.0,88.0,1.0,"(477.0, 653.0)","(470.0, 626.0)","(492.0, 619.0)","(500.0, 646.0)"
4399.0,89.0,1.0,"(477.0, 653.0)","(470.0, 626.0)","(492.0, 619.0)","(500.0, 646.0)"
4439.0,90.0,1.0,"(478.0, 654.0)","(470.0, 627.0)","(493.0, 619.0)","(501.0, 647.0)"
4479.0,91.0,1.0,"(477.0, 653.0)","(470.0, 626.0)","(493.0, 618.0)","(501.0, 646.0)"
4520.0,92.0,1.0,"(477.0, 652.0)","(470.0, 625.0)","(493.0, 618.0)","(500.0, 645.0)"
