time_MS,frame,ID,top_left,top_right,bottom_right,bottom_left
0.0,1.0,3,"(784.0, 806.0)","(765.0, 831.0)","(742.0, 812.0)","(760.0, 787.0)"
0.0,1.0,8,"(835.0, 713.0)","(824.0, 743.0)","(795.0, 732.0)","(806.0, 702.0)"
0.0,1.0,1,"(835.0, 611.0)","(818.0, 638.0)","(792.0, 621.0)","(808.0, 594.0)"
0.0,1.0,9,"(863.0, 331.0)","(841.0, 353.0)","(820.0, 333.0)","(842.0, 312.0)"
0.0,1.0,2,"(469.0, 714.0)","(478.0, 742.0)","(456.0, 752.0)","(447.0, 726.0)"
0.0,1.0,6,"(855.0, 472.0)","(835.0, 493.0)","(811.0, 473.0)","(833.0, 451.0)"
0.0,1.0,10,"(1027.0, 487.0)","(999.0, 475.0)","(1011.0, 447.0)","(1040.0, 459.0)"
25.0,2.0,3,"(783.0, 805.0)","(765.0, 829.0)","(741.0, 811.0)","(759.0, 786.0)"
25.0,2.0,2,"(469.0, 714.0)","(478.0, 741.0)","(456.0, 752.0)","(446.0, 725.0)"
25.0,2.0,8,"(835.0, 713.0)","(824.0, 743.0)","(795.0, 732.0)","(806.0, 702.0)"
25.0,2.0,1,"(834.0, 610.0)","(818.0, 638.0)","(792.0, 621.0)","(808.0, 594.0)"
25.0,2.0,9,"(863.0, 328.0)","(841.0, 350.0)","(820.0, 330.0)","(842.0, 309.0)"
25.0,2.0,6,"(855.0, 473.0)","(833.0, 493.0)","(812.0, 472.0)","(834.0, 450.0)"
25.0,2.0,10,"(1025.0, 488.0)","(997.0, 476.0)","(1009.0, 448.0)","(1038.0, 460.0)"
25.0,2.0,5,"(1142.0, 474.0)","(1116.0, 461.0)","(1131.0, 433.0)","(1157.0, 448.0)"
64.0,3.0,3,"(783.0, 804.0)","(765.0, 830.0)","(741.0, 810.0)","(759.0, 786.0)"
64.0,3.0,2,"(468.0, 713.0)","(478.0, 741.0)","(456.0, 752.0)","(447.0, 725.0)"
64.0,3.0,8,"(835.0, 713.0)","(824.0, 742.0)","(795.0, 731.0)","(806.0, 701.0)"
64.0,3.0,1,"(833.0, 610.0)","(817.0, 637.0)","(790.0, 621.0)","(807.0, 593.0)"
64.0,3.0,10,"(1023.0, 488.0)","(995.0, 476.0)","(1007.0, 448.0)","(1036.0, 460.0)"
64.0,3.0,9,"(862.0, 328.0)","(839.0, 349.0)","(818.0, 329.0)","(841.0, 307.0)"
64.0,3.0,6,"(855.0, 471.0)","(835.0, 493.0)","(812.0, 472.0)","(833.0, 450.0)"
64.0,3.0,5,"(1139.0, 476.0)","(1113.0, 463.0)","(1127.0, 435.0)","(1154.0, 450.0)"
105.0,4.0,3,"(783.0, 803.0)","(764.0, 827.0)","(740.0, 808.0)","(758.0, 784.0)"
105.0,4.0,2,"(467.0, 713.0)","(477.0, 741.0)","(456.0, 752.0)","(446.0, 725.0)"
105.0,4.0,8,"(835.0, 712.0)","(824.0, 741.0)","(794.0, 730.0)","(806.0, 700.0)"
105.0,4.0,1,"(833.0, 610.0)","(817.0, 637.0)","(790.0, 619.0)","(807.0, 593.0)"
105.0,4.0,10,"(1022.0, 487.0)","(993.0, 475.0)","(1005.0, 448.0)","(1034.0, 460.0)"
105.0,4.0,9,"(861.0, 327.0)","(836.0, 346.0)","(817.0, 325.0)","(841.0, 305.0)"
105.0,4.0,6,"(857.0, 471.0)","(837.0, 493.0)","(814.0, 472.0)","(836.0, 450.0)"
105.0,4.0,5,"(1135.0, 478.0)","(1108.0, 465.0)","(1122.0, 437.0)","(1149.0, 452.0)"
184.0,5.0,3,"(782.0, 802.0)","(763.0, 826.0)","(739.0, 807.0)","(758.0, 783.0)"
184.0,5.0,8,"(834.0, 712.0)","(822.0, 742.0)","(793.0, 730.0)","(805.0, 700.0)"
184.0,5.0,1,"(834.0, 610.0)","(817.0, 637.0)","(791.0, 619.0)","(808.0, 593.0)"
184.0,5.0,10,"(1020.0, 487.0)","(991.0, 474.0)","(1004.0, 447.0)","(1033.0, 458.0)"
184.0,5.0,9,"(859.0, 327.0)","(834.0, 346.0)","(816.0, 324.0)","(841.0, 305.0)"
184.0,5.0,2,"(467.0, 713.0)","(477.0, 740.0)","(455.0, 752.0)","(446.0, 725.0)"
184.0,5.0,6,"(859.0, 470.0)","(838.0, 492.0)","(815.0, 471.0)","(837.0, 449.0)"
184.0,5.0,5,"(1134.0, 478.0)","(1106.0, 463.0)","(1120.0, 438.0)","(1147.0, 451.0)"
225.0,6.0,3,"(781.0, 801.0)","(763.0, 825.0)","(739.0, 806.0)","(758.0, 782.0)"
225.0,6.0,8,"(833.0, 712.0)","(821.0, 742.0)","(792.0, 730.0)","(804.0, 700.0)"
225.0,6.0,1,"(835.0, 610.0)","(817.0, 637.0)","(792.0, 619.0)","(809.0, 592.0)"
225.0,6.0,10,"(1021.0, 486.0)","(992.0, 474.0)","(1004.0, 446.0)","(1033.0, 458.0)"
225.0,6.0,9,"(857.0, 328.0)","(831.0, 347.0)","(814.0, 324.0)","(839.0, 306.0)"
