time_MS,frame,ID,top_left,top_right,bottom_right,bottom_left
0.0,1.0,5,"(838.0, 893.0)","(844.0, 923.0)","(818.0, 924.0)","(812.0, 894.0)"
0.0,1.0,6,"(838.0, 770.0)","(847.0, 801.0)","(817.0, 809.0)","(808.0, 779.0)"
0.0,1.0,4,"(645.0, 729.0)","(654.0, 756.0)","(627.0, 765.0)","(618.0, 739.0)"
0.0,1.0,8,"(793.0, 634.0)","(790.0, 666.0)","(760.0, 664.0)","(762.0, 632.0)"
0.0,1.0,7,"(324.0, 551.0)","(332.0, 524.0)","(355.0, 534.0)","(347.0, 560.0)"
0.0,1.0,10,"(832.0, 526.0)","(813.0, 552.0)","(793.0, 537.0)","(811.0, 511.0)"
0.0,1.0,3,"(430.0, 525.0)","(448.0, 506.0)","(465.0, 530.0)","(447.0, 547.0)"
0.0,1.0,1,"(1143.0, 454.0)","(1112.0, 454.0)","(1112.0, 424.0)","(1143.0, 424.0)"
0.0,1.0,9,"(349.0, 689.0)","(368.0, 705.0)","(356.0, 727.0)","(337.0, 711.0)"
40.0,2.0,5,"(837.0, 893.0)","(843.0, 924.0)","(817.0, 925.0)","(811.0, 895.0)"
40.0,2.0,6,"(838.0, 770.0)","(847.0, 800.0)","(817.0, 809.0)","(808.0, 778.0)"
40.0,2.0,8,"(794.0, 635.0)","(791.0, 667.0)","(760.0, 664.0)","(763.0, 633.0)"
40.0,2.0,7,"(323.0, 550.0)","(332.0, 524.0)","(354.0, 534.0)","(346.0, 560.0)"
40.0,2.0,10,"(832.0, 526.0)","(813.0, 552.0)","(792.0, 536.0)","(812.0, 510.0)"
40.0,2.0,3,"(430.0, 525.0)","(448.0, 506.0)","(465.0, 530.0)","(447.0, 547.0)"
119.0,3.0,5,"(837.0, 894.0)","(843.0, 924.0)","(816.0, 925.0)","(811.0, 895.0)"
119.0,3.0,6,"(838.0, 770.0)","(847.0, 800.0)","(817.0, 809.0)","(808.0, 778.0)"
119.0,3.0,4,"(644.0, 728.0)","(653.0, 755.0)","(626.0, 764.0)","(617.0, 738.0)"
119.0,3.0,8,"(795.0, 635.0)","(792.0, 667.0)","(761.0, 664.0)","(765.0, 632.0)"
119.0,3.0,7,"(323.0, 550.0)","(332.0, 524.0)","(354.0, 534.0)","(346.0, 560.0)"
119.0,3.0,10,"(832.0, 525.0)","(813.0, 552.0)","(793.0, 536.0)","(812.0, 510.0)"
119.0,3.0,3,"(429.0, 525.0)","(448.0, 506.0)","(465.0, 530.0)","(447.0, 547.0)"
160.0,4.0,5,"(836.0, 894.0)","(842.0, 924.0)","(816.0, 925.0)","(810.0, 896.0)"
160.0,4.0,6,"(838.0, 770.0)","(846.0, 800.0)","(817.0, 809.0)","(808.0, 778.0)"
160.0,4.0,4,"(644.0, 728.0)","(653.0, 754.0)","(626.0, 764.0)","(616.0, 738.0)"
160.0,4.0,8,"(796.0, 637.0)","(792.0, 668.0)","(761.0, 664.0)","(765.0, 632.0)"
160.0,4.0,7,"(324.0, 551.0)","(332.0, 524.0)","(355.0, 535.0)","(346.0, 561.0)"
160.0,4.0,10,"(833.0, 526.0)","(813.0, 552.0)","(793.0, 536.0)","(812.0, 510.0)"
160.0,4.0,3,"(430.0, 524.0)","(448.0, 505.0)","(464.0, 530.0)","(446.0, 546.0)"
200.0,5.0,5,"(836.0, 894.0)","(842.0, 924.0)","(816.0, 925.0)","(810.0, 895.0)"
200.0,5.0,6,"(837.0, 769.0)","(846.0, 800.0)","(817.0, 809.0)","(808.0, 777.0)"
200.0,5.0,8,"(796.0, 637.0)","(792.0, 669.0)","(761.0, 665.0)","(766.0, 633.0)"
200.0,5.0,7,"(324.0, 551.0)","(332.0, 524.0)","(357.0, 535.0)","(346.0, 561.0)"
200.0,5.0,10,"(833.0, 526.0)","(813.0, 552.0)","(793.0, 536.0)","(812.0, 510.0)"
200.0,5.0,3,"(429.0, 524.0)","(447.0, 507.0)","(464.0, 530.0)","(445.0, 546.0)"
240.0,6.0,5,"(836.0, 894.0)","(841.0, 923.0)","(816.0, 925.0)","(810.0, 895.0)"
240.0,6.0,6,"(836.0, 768.0)","(846.0, 799.0)","(816.0, 808.0)","(807.0, 777.0)"
240.0,6.0,4,"(644.0, 730.0)","(652.0, 757.0)","(625.0, 765.0)","(617.0, 738.0)"
240.0,6.0,8,"(797.0, 638.0)","(792.0, 670.0)","(761.0, 665.0)","(766.0, 634.0)"
240.0,6.0,10,"(833.0, 526.0)","(813.0, 552.0)","(793.0, 536.0)","(812.0, 510.0)"
240.0,6.0,3,"(429.0, 524.0)","(447.0, 507.0)","(464.0, 530.0)","(445.0, 546.0)"
240.0,6.0,7,"(324.0, 551.0)","(332.0, 524.0)","(356.0, 535.0)","(346.0, 561.0)"
319.0,7.0,6,"(835.0, 768.0)","(845.0, 799.0)","(816.0, 808.0)","(807.0, 777.0)"
319.0,7.0,8,"(797.0, 638.0)","(792.0, 670.0)","(761.0, 665.0)","(766.0, 634.0)"
319.0,7.0,7,"(324.0, 551.0)","(332.0, 525.0)","(356.0, 535.0)","(346.0, 561.0)"
319.0,7.0,10,"(833.0, 526.0)","(813.0, 552.0)","(793.0, 536.0)","(812.0, 510.0)"
319.0,7.0,3,"(429.0, 524.0)","(447.0, 507.0)","(464.0, 530.0)","(445.0, 546.0)"
319.0,7.0,5,"(835.0, 894.0)","(841.0, 923.0)","(816.0, 925.0)","(809.0, 895.0)"
360.0,8.0,5,"(835.0, 894.0)","(841.0, 924.0)","(815.0, 925.0)","(809.0, 895.0)"
360.0,8.0,6,"(835.0, 768.0)","(845.0, 799.0)","(816.0, 808.0)","(806.0, 777.0)"
360.0,8.0,8,"(796.0, 638.0)","(791.0, 669.0)","(760.0, 665.0)","(765.0, 633.0)"
360.0,8.0,7,"(324.0, 551.0)","(332.0, 525.0)","(356.0, 535.0)","(346.0, 561.0)"
360.0,8.0,10,"(833.0, 527.0)","(813.0, 552.0)","(793.0, 536.0)","(814.0, 511.0)"
360.0,8.0,3,"(429.0, 524.0)","(447.0, 507.0)","(464.0, 530.0)","(446.0, 546.0)"
400.0,9.0,5,"(834.0, 893.0)","(841.0, 923.0)","(815.0, 925.0)","(809.0, 895.0)"
400.0,9.0,6,"(836.0, 768.0)","(845.0, 799.0)","(815.0, 807.0)","(806.0, 776.0)"
400.0,9.0,8,"(795.0, 638.0)","(790.0, 669.0)","(759.0, 664.0)","(764.0, 633.0)"
400.0,9.0,7,"(324.0, 551.0)","(332.0, 525.0)","(356.0, 535.0)","(346.0, 561.0)"
400.0,9.0,10,"(833.0, 526.0)","(814.0, 552.0)","(793.0, 536.0)","(813.0, 511.0)"
400.0,9.0,3,"(429.0, 524.0)","(448.0, 507.0)","(464.0, 530.0)","(446.0, 546.0)"
400.0,9.0,4,"(644.0, 731.0)","(651.0, 757.0)","(623.0, 766.0)","(617.0, 738.0)"
440.0,10.0,5,"(833.0, 893.0)","(841.0, 924.0)","(815.0, 926.0)","(808.0, 896.0)"
440.0,10.0,6,"(835.0, 768.0)","(844.0, 799.0)","(815.0, 807.0)","(805.0, 776.0)"
440.0,10.0,8,"(795.0, 637.0)","(790.0, 668.0)","(759.0, 663.0)","(764.0, 632.0)"
440.0,10.0,7,"(324.0, 551.0)","(332.0, 525.0)","(356.0, 535.0)","(346.0, 561.0)"
440.0,10.0,10,"(835.0, 529.0)","(816.0, 555.0)","(795.0, 538.0)","(815.0, 513.0)"
440.0,10.0,3,"(429.0, 524.0)","(448.0, 507.0)","(464.0, 530.0)","(446.0, 546.0)"
519.0,11.0,5,"(833.0, 893.0)","(840.0, 924.0)","(815.0, 926.0)","(808.0, 896.0)"
519.0,11.0,6,"(835.0, 768.0)","(844.0, 798.0)","(815.0, 807.0)","(805.0, 776.0)"
519.0,11.0,8,"(795.0, 637.0)","(789.0, 668.0)","(758.0, 663.0)","(764.0, 631.0)"
519.0,11.0,7,"(324.0, 551.0)","(332.0, 525.0)","(356.0, 535.0)","(346.0, 561.0)"
519.0,11.0,10,"(835.0, 530.0)","(816.0, 557.0)","(796.0, 541.0)","(815.0, 515.0)"
519.0,11.0,3,"(430.0, 523.0)","(447.0, 506.0)","(464.0, 529.0)","(446.0, 545.0)"
519.0,11.0,4,"(646.0, 734.0)","(652.0, 760.0)","(624.0, 767.0)","(618.0, 740.0)"
560.0,12.0,5,"(833.0, 893.0)","(840.0, 923.0)","(815.0, 926.0)","(808.0, 896.0)"
560.0,12.0,6,"(833.0, 767.0)","(844.0, 798.0)","(814.0, 806.0)","(805.0, 776.0)"
560.0,12.0,8,"(795.0, 637.0)","(788.0, 668.0)","(758.0, 662.0)","(764.0, 631.0)"
560.0,12.0,7,"(324.0, 551.0)","(332.0, 525.0)","(356.0, 535.0)","(346.0, 561.0)"
560.0,12.0,10,"(835.0, 531.0)","(817.0, 558.0)","(796.0, 542.0)","(815.0, 516.0)"
560.0,12.0,3,"(430.0, 523.0)","(448.0, 506.0)","(464.0, 528.0)","(447.0, 546.0)"
600.0,13.0,5,"(833.0, 893.0)","(840.0, 923.0)","(814.0, 926.0)","(807.0, 896.0)"
600.0,13.0,6,"(834.0, 767.0)","(843.0, 798.0)","(814.0, 806.0)","(804.0, 776.0)"
600.0,13.0,8,"(794.0, 636.0)","(788.0, 667.0)","(758.0, 661.0)","(764.0, 630.0)"
600.0,13.0,7,"(324.0, 551.0)","(332.0, 525.0)","(356.0, 535.0)","(346.0, 561.0)"
600.0,13.0,10,"(835.0, 533.0)","(817.0, 560.0)","(796.0, 544.0)","(814.0, 518.0)"
600.0,13.0,3,"(430.0, 522.0)","(448.0, 506.0)","(464.0, 528.0)","(447.0, 545.0)"
640.0,14.0,5,"(832.0, 892.0)","(839.0, 923.0)","(814.0, 925.0)","(807.0, 896.0)"
640.0,14.0,6,"(834.0, 767.0)","(843.0, 798.0)","(814.0, 806.0)","(804.0, 776.0)"
640.0,14.0,8,"(794.0, 636.0)","(787.0, 667.0)","(757.0, 660.0)","(764.0, 629.0)"
640.0,14.0,7,"(324.0, 551.0)","(332.0, 525.0)","(356.0, 535.0)","(346.0, 561.0)"
640.0,14.0,10,"(835.0, 536.0)","(817.0, 563.0)","(796.0, 547.0)","(814.0, 520.0)"
640.0,14.0,3,"(429.0, 523.0)","(446.0, 505.0)","(464.0, 526.0)","(447.0, 544.0)"
719.0,15.0,5,"(833.0, 893.0)","(839.0, 923.0)","(814.0, 925.0)","(807.0, 895.0)"
719.0,15.0,6,"(834.0, 767.0)","(843.0, 798.0)","(814.0, 806.0)","(804.0, 776.0)"
719.0,15.0,8,"(794.0, 636.0)","(787.0, 667.0)","(757.0, 660.0)","(763.0, 629.0)"
719.0,15.0,7,"(324.0, 551.0)","(332.0, 525.0)","(356.0, 535.0)","(346.0, 561.0)"
719.0,15.0,10,"(835.0, 536.0)","(817.0, 564.0)","(796.0, 548.0)","(814.0, 521.0)"
719.0,15.0,3,"(429.0, 522.0)","(447.0, 505.0)","(464.0, 527.0)","(446.0, 544.0)"
760.0,16.0,5,"(832.0, 892.0)","(839.0, 922.0)","(814.0, 925.0)","(807.0, 894.0)"
760.0,16.0,6,"(834.0, 767.0)","(846.0, 797.0)","(814.0, 806.0)","(804.0, 776.0)"
760.0,16.0,4,"(646.0, 737.0)","(650.0, 763.0)","(622.0, 769.0)","(617.0, 742.0)"
760.0,16.0,8,"(794.0, 636.0)","(787.0, 666.0)","(756.0, 659.0)","(763.0, 629.0)"
760.0,16.0,7,"(324.0, 551.0)","(332.0, 525.0)","(356.0, 535.0)","(346.0, 562.0)"
760.0,16.0,10,"(835.0, 537.0)","(817.0, 564.0)","(796.0, 550.0)","(813.0, 523.0)"
760.0,16.0,3,"(429.0, 521.0)","(447.0, 504.0)","(463.0, 527.0)","(445.0, 543.0)"
800.0,17.0,5,"(832.0, 892.0)","(839.0, 922.0)","(814.0, 925.0)","(807.0, 894.0)"
800.0,17.0,6,"(834.0, 767.0)","(842.0, 798.0)","(814.0, 806.0)","(804.0, 776.0)"
800.0,17.0,8,"(794.0, 636.0)","(786.0, 666.0)","(756.0, 659.0)","(763.0, 628.0)"
800.0,17.0,10,"(835.0, 538.0)","(817.0, 565.0)","(796.0, 551.0)","(813.0, 524.0)"
800.0,17.0,3,"(429.0, 521.0)","(447.0, 504.0)","(464.0, 525.0)","(446.0, 543.0)"
