time_MS,frame,ID,top_left,top_right,bottom_right,bottom_left
0.0,1.0,6,"(790.0, 836.0)","(798.0, 865.0)","(769.0, 873.0)","(761.0, 843.0)"
0.0,1.0,2,"(497.0, 788.0)","(508.0, 763.0)","(523.0, 775.0)","(512.0, 800.0)"
0.0,1.0,8,"(757.0, 638.0)","(739.0, 663.0)","(715.0, 646.0)","(732.0, 620.0)"
0.0,1.0,5,"(906.0, 571.0)","(877.0, 561.0)","(885.0, 532.0)","(915.0, 543.0)"
0.0,1.0,1,"(1247.0, 562.0)","(1230.0, 535.0)","(1256.0, 520.0)","(1272.0, 546.0)"
0.0,1.0,19,"(1215.0, 1196.0)","(1185.0, 1196.0)","(1186.0, 1168.0)","(1216.0, 1169.0)"
0.0,1.0,9,"(629.0, 682.0)","(616.0, 707.0)","(590.0, 692.0)","(603.0, 666.0)"
0.0,1.0,10,"(309.0, 646.0)","(310.0, 618.0)","(335.0, 619.0)","(334.0, 647.0)"
0.0,1.0,7,"(705.0, 450.0)","(679.0, 463.0)","(666.0, 437.0)","(692.0, 424.0)"
40.0,2.0,6,"(790.0, 836.0)","(798.0, 865.0)","(769.0, 873.0)","(761.0, 843.0)"
40.0,2.0,2,"(497.0, 788.0)","(508.0, 763.0)","(523.0, 775.0)","(511.0, 801.0)"
40.0,2.0,8,"(757.0, 639.0)","(739.0, 664.0)","(715.0, 647.0)","(732.0, 621.0)"
40.0,2.0,5,"(906.0, 572.0)","(877.0, 561.0)","(885.0, 533.0)","(915.0, 544.0)"
40.0,2.0,7,"(705.0, 453.0)","(680.0, 467.0)","(666.0, 441.0)","(692.0, 428.0)"
40.0,2.0,9,"(635.0, 687.0)","(623.0, 713.0)","(596.0, 698.0)","(609.0, 673.0)"
40.0,2.0,10,"(309.0, 646.0)","(309.0, 617.0)","(335.0, 619.0)","(334.0, 647.0)"
40.0,2.0,1,"(1246.0, 562.0)","(1229.0, 536.0)","(1255.0, 520.0)","(1272.0, 546.0)"
120.0,3.0,6,"(790.0, 836.0)","(798.0, 866.0)","(769.0, 873.0)","(761.0, 843.0)"
120.0,3.0,2,"(497.0, 788.0)","(508.0, 763.0)","(522.0, 774.0)","(511.0, 801.0)"
120.0,3.0,8,"(757.0, 639.0)","(739.0, 664.0)","(715.0, 647.0)","(733.0, 621.0)"
120.0,3.0,5,"(906.0, 572.0)","(877.0, 561.0)","(886.0, 533.0)","(915.0, 544.0)"
120.0,3.0,7,"(706.0, 455.0)","(680.0, 469.0)","(667.0, 443.0)","(692.0, 429.0)"
120.0,3.0,9,"(637.0, 688.0)","(624.0, 714.0)","(599.0, 701.0)","(611.0, 675.0)"
120.0,3.0,10,"(309.0, 646.0)","(311.0, 618.0)","(335.0, 619.0)","(334.0, 647.0)"
120.0,3.0,1,"(1247.0, 562.0)","(1230.0, 535.0)","(1255.0, 519.0)","(1272.0, 546.0)"
