time_MS,frame,ID,top_left,top_right,bottom_right,bottom_left
0.0,1.0,3.0,"(565.0, 538.0)","(589.0, 531.0)","(592.0, 559.0)","(568.0, 566.0)"
25.0,2.0,3.0,"(565.0, 538.0)","(589.0, 531.0)","(592.0, 559.0)","(568.0, 566.0)"
64.0,3.0,3.0,"(565.0, 539.0)","(589.0, 531.0)","(593.0, 558.0)","(569.0, 566.0)"
105.0,4.0,3.0,"(565.0, 539.0)","(589.0, 531.0)","(593.0, 558.0)","(569.0, 566.0)"
184.0,5.0,3.0,"(565.0, 539.0)","(589.0, 531.0)","(593.0, 558.0)","(569.0, 566.0)"
224.0,6.0,3.0,"(565.0, 539.0)","(589.0, 531.0)","(593.0, 558.0)","(569.0, 566.0)"
265.0,7.0,3.0,"(565.0, 539.0)","(589.0, 531.0)","(593.0, 558.0)","(569.0, 566.0)"
305.0,8.0,3.0,"(565.0, 539.0)","(589.0, 531.0)","(593.0, 558.0)","(569.0, 566.0)"
384.0,9.0,3.0,"(565.0, 539.0)","(589.0, 531.0)","(593.0, 558.0)","(569.0, 566.0)"
424.0,10.0,3.0,"(565.0, 539.0)","(589.0, 531.0)","(593.0, 558.0)","(569.0, 566.0)"
464.0,11.0,3.0,"(565.0, 539.0)","(589.0, 530.0)","(593.0, 558.0)","(569.0, 566.0)"
504.0,12.0,3.0,"(565.0, 538.0)","(589.0, 530.0)","(593.0, 557.0)","(569.0, 566.0)"
584.0,13.0,3.0,"(565.0, 538.0)","(589.0, 530.0)","(593.0, 557.0)","(569.0, 565.0)"
624.0,14.0,3.0,"(565.0, 538.0)","(589.0, 530.0)","(593.0, 557.0)","(569.0, 565.0)"
664.0,15.0,3.0,"(565.0, 538.0)","(589.0, 530.0)","(593.0, 557.0)","(569.0, 565.0)"
704.0,16.0,3.0,"(565.0, 538.0)","(589.0, 530.0)","(593.0, 557.0)","(569.0, 565.0)"
784.0,17.0,3.0,"(565.0, 538.0)","(589.0, 530.0)","(593.0, 557.0)","(569.0, 565.0)"
824.0,18.0,3.0,"(565.0, 538.0)","(589.0, 530.0)","(593.0, 557.0)","(569.0, 565.0)"
