time_MS,frame,ID,top_left,top_right,bottom_right,bottom_left
0.0,1.0,14.0,"(741.0, 788.0)","(715.0, 804.0)","(698.0, 779.0)","(724.0, 762.0)"
40.0,2.0,14.0,"(740.0, 788.0)","(714.0, 804.0)","(698.0, 778.0)","(724.0, 761.0)"
80.0,3.0,14.0,"(739.0, 789.0)","(714.0, 805.0)","(698.0, 778.0)","(723.0, 763.0)"
159.0,4.0,14.0,"(739.0, 791.0)","(713.0, 806.0)","(698.0, 780.0)","(724.0, 765.0)"
200.0,5.0,14.0,"(739.0, 793.0)","(714.0, 808.0)","(698.0, 781.0)","(724.0, 766.0)"
240.0,6.0,14.0,"(739.0, 795.0)","(713.0, 809.0)","(698.0, 783.0)","(725.0, 767.0)"
280.0,7.0,14.0,"(739.0, 798.0)","(712.0, 811.0)","(698.0, 784.0)","(724.0, 771.0)"
359.0,8.0,14.0,"(739.0, 799.0)","(712.0, 812.0)","(698.0, 785.0)","(725.0, 772.0)"
400.0,9.0,14.0,"(739.0, 800.0)","(712.0, 813.0)","(698.0, 786.0)","(725.0, 773.0)"
440.0,10.0,14.0,"(739.0, 800.0)","(712.0, 813.0)","(698.0, 787.0)","(725.0, 774.0)"
480.0,11.0,14.0,"(739.0, 802.0)","(712.0, 815.0)","(698.0, 788.0)","(724.0, 775.0)"
559.0,12.0,14.0,"(738.0, 802.0)","(711.0, 815.0)","(697.0, 788.0)","(725.0, 776.0)"
600.0,13.0,14.0,"(738.0, 803.0)","(711.0, 815.0)","(697.0, 788.0)","(725.0, 776.0)"
640.0,14.0,14.0,"(738.0, 802.0)","(710.0, 814.0)","(697.0, 788.0)","(725.0, 776.0)"
680.0,15.0,14.0,"(737.0, 803.0)","(710.0, 814.0)","(697.0, 787.0)","(725.0, 776.0)"
759.0,16.0,14.0,"(737.0, 803.0)","(709.0, 814.0)","(697.0, 787.0)","(725.0, 776.0)"
800.0,17.0,14.0,"(737.0, 802.0)","(709.0, 814.0)","(697.0, 786.0)","(725.0, 776.0)"
840.0,18.0,14.0,"(736.0, 802.0)","(709.0, 812.0)","(696.0, 785.0)","(725.0, 775.0)"
880.0,19.0,14.0,"(735.0, 802.0)","(708.0, 812.0)","(696.0, 784.0)","(724.0, 774.0)"
959.0,20.0,14.0,"(735.0, 803.0)","(707.0, 812.0)","(696.0, 785.0)","(724.0, 775.0)"
1000.0,21.0,14.0,"(735.0, 803.0)","(708.0, 813.0)","(696.0, 786.0)","(725.0, 776.0)"
1040.0,22.0,14.0,"(736.0, 803.0)","(708.0, 813.0)","(696.0, 786.0)","(725.0, 776.0)"
1080.0,23.0,14.0,"(736.0, 803.0)","(708.0, 814.0)","(696.0, 787.0)","(724.0, 776.0)"
1159.0,24.0,14.0,"(737.0, 803.0)","(709.0, 814.0)","(697.0, 787.0)","(724.0, 777.0)"
1200.0,25.0,14.0,"(737.0, 804.0)","(710.0, 815.0)","(697.0, 788.0)","(726.0, 777.0)"
1240.0,26.0,14.0,"(737.0, 804.0)","(710.0, 815.0)","(697.0, 788.0)","(725.0, 778.0)"
1280.0,27.0,14.0,"(736.0, 805.0)","(708.0, 816.0)","(696.0, 788.0)","(725.0, 779.0)"
1359.0,28.0,14.0,"(735.0, 807.0)","(707.0, 816.0)","(696.0, 789.0)","(724.0, 780.0)"
1400.0,29.0,14.0,"(735.0, 808.0)","(707.0, 817.0)","(696.0, 790.0)","(724.0, 781.0)"
1440.0,30.0,14.0,"(736.0, 811.0)","(708.0, 820.0)","(697.0, 792.0)","(726.0, 783.0)"
1480.0,31.0,14.0,"(740.0, 817.0)","(712.0, 826.0)","(701.0, 799.0)","(729.0, 790.0)"
