time_MS,frame,ID,top_left,top_right,bottom_right,bottom_left
0.0,1.0,20.0,"(1308.0, 800.0)","(1281.0, 785.0)","(1296.0, 759.0)","(1323.0, 774.0)"
40.0,2.0,20.0,"(1308.0, 800.0)","(1281.0, 786.0)","(1296.0, 759.0)","(1322.0, 774.0)"
80.0,3.0,20.0,"(1307.0, 800.0)","(1280.0, 785.0)","(1295.0, 759.0)","(1322.0, 774.0)"
160.0,4.0,20.0,"(1307.0, 800.0)","(1280.0, 785.0)","(1295.0, 759.0)","(1322.0, 774.0)"
200.0,5.0,20.0,"(1307.0, 800.0)","(1280.0, 785.0)","(1295.0, 759.0)","(1322.0, 774.0)"
240.0,6.0,20.0,"(1307.0, 800.0)","(1280.0, 786.0)","(1295.0, 759.0)","(1322.0, 774.0)"
281.0,7.0,20.0,"(1306.0, 801.0)","(1280.0, 786.0)","(1295.0, 759.0)","(1321.0, 774.0)"
360.0,8.0,20.0,"(1306.0, 801.0)","(1280.0, 786.0)","(1295.0, 759.0)","(1321.0, 774.0)"
400.0,9.0,20.0,"(1306.0, 801.0)","(1280.0, 786.0)","(1295.0, 760.0)","(1321.0, 774.0)"
442.0,10.0,20.0,"(1307.0, 801.0)","(1280.0, 786.0)","(1295.0, 760.0)","(1321.0, 774.0)"
480.0,11.0,20.0,"(1307.0, 800.0)","(1280.0, 785.0)","(1296.0, 758.0)","(1322.0, 773.0)"
560.0,12.0,20.0,"(1307.0, 800.0)","(1281.0, 785.0)","(1296.0, 758.0)","(1322.0, 773.0)"
600.0,13.0,20.0,"(1307.0, 800.0)","(1281.0, 785.0)","(1296.0, 758.0)","(1322.0, 773.0)"
640.0,14.0,20.0,"(1307.0, 800.0)","(1280.0, 785.0)","(1295.0, 759.0)","(1322.0, 774.0)"
680.0,15.0,20.0,"(1307.0, 800.0)","(1280.0, 786.0)","(1295.0, 759.0)","(1322.0, 774.0)"
760.0,16.0,20.0,"(1307.0, 800.0)","(1280.0, 786.0)","(1295.0, 759.0)","(1322.0, 774.0)"
800.0,17.0,20.0,"(1307.0, 800.0)","(1280.0, 786.0)","(1295.0, 759.0)","(1322.0, 774.0)"
840.0,18.0,20.0,"(1306.0, 801.0)","(1280.0, 787.0)","(1295.0, 759.0)","(1321.0, 774.0)"
880.0,19.0,20.0,"(1306.0, 803.0)","(1280.0, 789.0)","(1295.0, 761.0)","(1321.0, 776.0)"
960.0,20.0,20.0,"(1306.0, 803.0)","(1280.0, 789.0)","(1295.0, 761.0)","(1321.0, 776.0)"
1000.0,21.0,20.0,"(1307.0, 802.0)","(1281.0, 788.0)","(1296.0, 760.0)","(1322.0, 775.0)"
1040.0,22.0,20.0,"(1308.0, 801.0)","(1282.0, 786.0)","(1297.0, 759.0)","(1323.0, 774.0)"
1080.0,23.0,20.0,"(1310.0, 799.0)","(1283.0, 783.0)","(1298.0, 757.0)","(1325.0, 772.0)"
1159.0,24.0,20.0,"(1310.0, 798.0)","(1283.0, 783.0)","(1299.0, 756.0)","(1325.0, 771.0)"
1200.0,25.0,20.0,"(1311.0, 797.0)","(1284.0, 782.0)","(1299.0, 755.0)","(1325.0, 770.0)"
1242.0,26.0,20.0,"(1310.0, 797.0)","(1284.0, 781.0)","(1299.0, 755.0)","(1325.0, 770.0)"
1280.0,27.0,20.0,"(1310.0, 797.0)","(1284.0, 781.0)","(1299.0, 755.0)","(1325.0, 770.0)"
1359.0,28.0,20.0,"(1310.0, 797.0)","(1284.0, 781.0)","(1299.0, 755.0)","(1325.0, 770.0)"
1400.0,29.0,20.0,"(1310.0, 797.0)","(1284.0, 781.0)","(1299.0, 755.0)","(1325.0, 770.0)"
1441.0,30.0,20.0,"(1310.0, 797.0)","(1284.0, 781.0)","(1299.0, 755.0)","(1325.0, 770.0)"
1480.0,31.0,20.0,"(1311.0, 796.0)","(1284.0, 781.0)","(1300.0, 754.0)","(1326.0, 770.0)"
1559.0,32.0,20.0,"(1311.0, 796.0)","(1284.0, 780.0)","(1300.0, 754.0)","(1326.0, 770.0)"
1600.0,33.0,20.0,"(1311.0, 796.0)","(1285.0, 780.0)","(1300.0, 754.0)","(1326.0, 769.0)"
1640.0,34.0,20.0,"(1311.0, 796.0)","(1285.0, 780.0)","(1301.0, 753.0)","(1326.0, 769.0)"
1680.0,35.0,20.0,"(1312.0, 795.0)","(1286.0, 780.0)","(1301.0, 754.0)","(1327.0, 769.0)"
1759.0,36.0,20.0,"(1312.0, 797.0)","(1286.0, 780.0)","(1301.0, 754.0)","(1327.0, 770.0)"
1800.0,37.0,20.0,"(1312.0, 797.0)","(1286.0, 780.0)","(1301.0, 754.0)","(1327.0, 770.0)"
1840.0,38.0,20.0,"(1312.0, 797.0)","(1286.0, 780.0)","(1302.0, 754.0)","(1328.0, 771.0)"
1880.0,39.0,20.0,"(1314.0, 795.0)","(1287.0, 779.0)","(1303.0, 753.0)","(1329.0, 770.0)"
1959.0,40.0,20.0,"(1314.0, 795.0)","(1288.0, 779.0)","(1303.0, 753.0)","(1329.0, 769.0)"
2000.0,41.0,20.0,"(1314.0, 794.0)","(1288.0, 778.0)","(1303.0, 752.0)","(1329.0, 769.0)"
2040.0,42.0,20.0,"(1314.0, 794.0)","(1288.0, 778.0)","(1303.0, 752.0)","(1329.0, 768.0)"
2080.0,43.0,20.0,"(1312.0, 795.0)","(1286.0, 779.0)","(1301.0, 753.0)","(1327.0, 769.0)"
2159.0,44.0,20.0,"(1312.0, 795.0)","(1285.0, 779.0)","(1300.0, 754.0)","(1326.0, 769.0)"
2200.0,45.0,20.0,"(1311.0, 795.0)","(1284.0, 779.0)","(1300.0, 753.0)","(1326.0, 769.0)"
2240.0,46.0,20.0,"(1310.0, 795.0)","(1284.0, 779.0)","(1299.0, 753.0)","(1325.0, 769.0)"
2280.0,47.0,20.0,"(1310.0, 794.0)","(1283.0, 778.0)","(1298.0, 753.0)","(1325.0, 769.0)"
2359.0,48.0,20.0,"(1310.0, 794.0)","(1283.0, 778.0)","(1298.0, 753.0)","(1325.0, 769.0)"
2400.0,49.0,20.0,"(1310.0, 794.0)","(1283.0, 778.0)","(1298.0, 753.0)","(1325.0, 769.0)"
2440.0,50.0,20.0,"(1310.0, 794.0)","(1283.0, 778.0)","(1298.0, 753.0)","(1325.0, 769.0)"
2480.0,51.0,20.0,"(1309.0, 795.0)","(1283.0, 779.0)","(1298.0, 753.0)","(1324.0, 768.0)"
2559.0,52.0,20.0,"(1310.0, 795.0)","(1283.0, 779.0)","(1298.0, 754.0)","(1324.0, 769.0)"
2600.0,53.0,20.0,"(1310.0, 795.0)","(1283.0, 779.0)","(1298.0, 754.0)","(1325.0, 770.0)"
2640.0,54.0,20.0,"(1310.0, 795.0)","(1283.0, 779.0)","(1298.0, 754.0)","(1325.0, 770.0)"
2680.0,55.0,20.0,"(1311.0, 794.0)","(1285.0, 778.0)","(1300.0, 753.0)","(1326.0, 769.0)"
2759.0,56.0,20.0,"(1311.0, 794.0)","(1286.0, 778.0)","(1301.0, 752.0)","(1327.0, 769.0)"
