time_MS,frame,ID,top_left,top_right,bottom_right,bottom_left
0.0,1.0,6,"(366.0, 805.0)","(346.0, 813.0)","(343.0, 787.0)","(363.0, 780.0)"
0.0,1.0,8,"(1383.0, 663.0)","(1389.0, 634.0)","(1418.0, 639.0)","(1412.0, 668.0)"
0.0,1.0,3,"(419.0, 636.0)","(427.0, 609.0)","(451.0, 616.0)","(444.0, 643.0)"
0.0,1.0,2,"(1039.0, 613.0)","(1017.0, 633.0)","(998.0, 613.0)","(1021.0, 593.0)"
40.0,2.0,7,"(1599.0, 845.0)","(1576.0, 862.0)","(1559.0, 838.0)","(1582.0, 820.0)"
40.0,2.0,6,"(366.0, 805.0)","(346.0, 812.0)","(342.0, 788.0)","(363.0, 780.0)"
40.0,2.0,8,"(1380.0, 664.0)","(1386.0, 635.0)","(1415.0, 641.0)","(1409.0, 669.0)"
40.0,2.0,3,"(420.0, 636.0)","(427.0, 609.0)","(451.0, 616.0)","(444.0, 643.0)"
40.0,2.0,2,"(1040.0, 614.0)","(1018.0, 634.0)","(999.0, 613.0)","(1022.0, 594.0)"
119.0,3.0,8,"(1378.0, 663.0)","(1384.0, 634.0)","(1414.0, 640.0)","(1408.0, 669.0)"
119.0,3.0,7,"(1599.0, 845.0)","(1576.0, 863.0)","(1559.0, 840.0)","(1582.0, 822.0)"
119.0,3.0,6,"(366.0, 804.0)","(346.0, 812.0)","(342.0, 788.0)","(363.0, 780.0)"
119.0,3.0,3,"(420.0, 636.0)","(426.0, 609.0)","(451.0, 616.0)","(444.0, 643.0)"
119.0,3.0,2,"(1040.0, 616.0)","(1018.0, 635.0)","(1000.0, 614.0)","(1023.0, 595.0)"
160.0,4.0,8,"(1378.0, 663.0)","(1384.0, 634.0)","(1413.0, 639.0)","(1408.0, 668.0)"
160.0,4.0,7,"(1599.0, 846.0)","(1576.0, 864.0)","(1559.0, 841.0)","(1581.0, 822.0)"
160.0,4.0,6,"(366.0, 804.0)","(346.0, 812.0)","(342.0, 788.0)","(363.0, 780.0)"
160.0,4.0,3,"(420.0, 636.0)","(426.0, 609.0)","(451.0, 616.0)","(444.0, 643.0)"
