,video_sep_name,tl_x,tl_y,tr_x,tr_y,br_x,br_y,bl_x,bl_y
0,01_20220108115951_part1_1.mp4,60,192,2046,297,2016,1005,17,950
1,01_20220108115951_part1_2.mp4,60,195,2033,300,2011,998,17,938
2,01_20220108115951_part1_3.mp4,67,192,2033,302,2021,998,15,935
3,01_20220108115951_part1_4.mp4,70,195,2048,292,2006,1000,17,945
4,01_20220108115951_part1_5.mp4,67,192,2036,292,2016,1000,20,953
5,01_20220108115951_part1_6.mp4,62,192,2053,292,2011,1005,20,938
6,01_20220108115951_part1_7.mp4,42,190,2028,290,2018,1003,27,945
7,01_20220108115951_part1_8.mp4,67,187,2046,295,2016,998,15,945
8,01_20220110073318_1.mp4,167,210,2141,195,2146,923,135,935
9,01_20220110073318_2.mp4,155,197,2146,210,2143,908,152,948
10,01_20220110073318_3.mp4,152,200,2156,205,2151,938,152,943
11,02_20220111065954_part2_BA.mp4,245,235,2211,235,2226,985,237,980
12,02_20220111065954_part2_BB.mp4,245,227,2211,237,2231,998,230,990
13,02_20220111065954_part2_BC.mp4,242,235,2218,222,2243,998,230,985
14,02_20220111065954_part2_BD.mp4,250,242,2213,227,2223,970,225,970
15,02_20220111065954_part2_BE.mp4,247,247,2218,232,2238,993,232,973
16,02_20220111065955_part2_WA.mp4,117,217,2061,217,2106,968,110,968
17,02_20220111065955_part2_WB.mp4,105,225,2066,230,2118,963,92,968
18,02_20220111065955_part2_WC.mp4,107,222,2093,220,2093,965,85,963
19,02_20220111112402_part2.mp4,250,242,2211,227,2228,985,230,975
20,03_20220108075951_part2_1.mp4,97,415,2068,395,2108,1168,105,1180
21,03_20220108075951_part2_2.mp4,100,412,2071,387,2111,1163,95,1185
22,03_20220108075951_part2_3.mp4,107,420,2071,387,2106,1175,92,1185
23,03_20220108075951_part2_4.mp4,100,412,2073,392,2116,1165,92,1183
24,03_20220108075951_part2_5.mp4,112,410,2061,395,2111,1160,95,1185
25,03_20220108075951_part2_6.mp4,95,417,2063,390,2118,1163,92,1180
26,05_20220108114710_part_1.mp4,95,207,2058,337,2046,1093,47,963
27,05_20220108114710_part_2.mp4,97,210,2068,337,2056,1100,47,963
28,05_20220108114710_part_3.mp4,105,212,2081,342,2048,1093,67,963
29,05_20220108114710_part_4.mp4,97,215,2073,342,2056,1090,60,953
30,05_20220108114710_part_5.mp4,105,212,2076,347,2046,1088,52,958
31,05_20220108114710_part_6.mp4,105,207,2106,342,2058,1090,62,958
32,06_20211217112157_part1_1.mp4,125,325,2113,175,2158,943,172,1078
33,06_20211217112157_part1_10.mp4,130,322,2101,165,2171,948,172,1078
34,06_20211217112157_part1_2.mp4,132,300,2098,167,2151,933,170,1080
35,06_20211217112157_part1_3.mp4,122,310,2103,175,2146,938,175,1068
36,06_20211217112157_part1_4.mp4,125,315,2101,175,2148,943,175,1075
37,06_20211217112157_part1_5.mp4,115,320,2108,157,2156,943,180,1073
38,06_20211217112157_part1_6.mp4,132,325,2096,165,2161,938,172,1075
39,06_20211217112157_part1_7.mp4,132,320,2098,165,2163,928,175,1068
40,06_20211217112157_part1_8.mp4,135,315,2106,167,2158,935,177,1070
41,06_20211217112157_part1_9.mp4,130,317,2116,165,2158,935,177,1068
42,07_20220108115953_part2_1.mp4,5,292,1913,350,1923,1098,2,1035
43,07_20220108115953_part2_2.mp4,0,287,1906,352,1928,1113,0,1043
44,07_20220108115953_part2_3.mp4,0,295,1911,350,1931,1108,10,1038
45,07_20220108115953_part2_4.mp4,0,297,1906,357,1916,1100,5,1035
46,07_20220108115953_part2_5.mp4,2,290,1911,355,1921,1113,2,1050
47,07_20220108115953_part2_6.mp4,2,292,1916,352,1923,1105,5,1038
48,10_20220108115949_part2_1.mp4,35,327,2021,280,2066,1063,30,1083
49,10_20220108115949_part2_2.mp4,25,330,2061,287,2066,1045,50,1090
50,10_20220108115949_part2_3.mp4,47,335,2028,275,2061,1053,50,1083
51,10_20220108115949_part2_4.mp4,50,337,2023,280,2078,1050,37,1088
52,10_20220108115949_part2_5.mp4,52,335,2028,280,2061,1038,47,1088
53,10_20220108115949_part2_6.mp4,52,335,2028,280,2066,1035,45,1075
54,11_20220108105951_part1_1.mp4,17,482,1961,200,2088,933,95,1203
55,11_20220108105951_part1_2.mp4,35,455,1958,197,2091,925,87,1203
56,11_20220108105951_part1_3.mp4,10,445,1961,187,2086,940,115,1183
57,11_20220108105951_part1_4.mp4,35,452,1973,180,2101,933,92,1205
58,11_20220108105951_part1_5.mp4,37,457,1958,175,2053,938,80,1195
59,11_20220108105951_part1_6.mp4,15,462,1933,187,2098,928,97,1198
60,p01t_07_20220102074423_2.mp4,140,332,2121,297,2136,1045,135,1058
61,p01t_07_20220102074423_3.mp4,147,327,2118,302,2143,1053,147,1053
62,p02t_06_20220112171551_1.mp4,145,307,2098,167,2163,938,170,1078
63,p02t_06_20220112171551_2.mp4,140,322,2101,160,2153,915,160,1070
64,p02t_06_20220112171551_3.mp4,122,325,2098,170,2163,923,162,1075
